Home_Team,Away_Team,Result,Link,Season,Round,League
Olympique Lyonnais,Olympique,1-4,/match/olympique-lyonnais/olympique-marsella/1990,1990,1,ligue_1
Montpellier,Cannes,4-1,/match/montpellier-hsc/as-cannes/1990,1990,1,ligue_1
Toulouse,FC Mulhouse,3-0,/match/toulouse-fc/mulhouse/1990,1990,1,ligue_1
Sporting Toulon,Saint-Étienne,2-0,/match/sporting-toulon/saint-etienne/1990,1990,1,ligue_1
Nantes,Auxerre,2-1,/match/nantes/auxerre/1990,1990,1,ligue_1
Lille,Caen,1-0,/match/lillestrom/caen/1990,1990,1,ligue_1
Sochaux,Stade Brestois,1-0,/match/sochaux/stade-brestois-29/1990,1990,1,ligue_1
Nice,PSG,3-3,/match/nice/paris-saint-germain-fc/1990,1990,1,ligue_1
Metz,Girondins Bordeaux,0-0,/match/metz/bordeaux/1990,1990,1,ligue_1
Racing Paris,Monaco,0-0,/match/racing-paris/monaco/1990,1990,1,ligue_1
Stade Brestois,Lille,1-0,/match/stade-brestois-29/lillestrom/1990,1990,2,ligue_1
Girondins Bordeaux,Racing Paris,4-0,/match/bordeaux/racing-paris/1990,1990,2,ligue_1
Cannes,Sporting Toulon,0-0,/match/as-cannes/sporting-toulon/1990,1990,2,ligue_1
PSG,Metz,1-0,/match/paris-saint-germain-fc/metz/1990,1990,2,ligue_1
Monaco,Sochaux,2-1,/match/monaco/sochaux/1990,1990,2,ligue_1
FC Mulhouse,Montpellier,2-0,/match/mulhouse/montpellier-hsc/1990,1990,2,ligue_1
Olympique Lyonnais,Toulouse,3-0,/match/olympique-lyonnais/toulouse-fc/1990,1990,2,ligue_1
Caen,Saint-Étienne,3-2,/match/caen/saint-etienne/1990,1990,2,ligue_1
Auxerre,Nice,1-0,/match/auxerre/nice/1990,1990,2,ligue_1
Olympique,Nantes,1-0,/match/olympique-marsella/nantes/1990,1990,2,ligue_1
Lille,Monaco,1-1,/match/lillestrom/monaco/1990,1990,3,ligue_1
Montpellier,Girondins Bordeaux,1-2,/match/montpellier-hsc/bordeaux/1990,1990,3,ligue_1
Sporting Toulon,Caen,2-0,/match/sporting-toulon/caen/1990,1990,3,ligue_1
Toulouse,Olympique,2-1,/match/toulouse-fc/olympique-marsella/1990,1990,3,ligue_1
Nantes,Olympique Lyonnais,2-1,/match/nantes/olympique-lyonnais/1990,1990,3,ligue_1
Sochaux,PSG,1-0,/match/sochaux/paris-saint-germain-fc/1990,1990,3,ligue_1
Nice,FC Mulhouse,2-0,/match/nice/mulhouse/1990,1990,3,ligue_1
Metz,Auxerre,2-1,/match/metz/auxerre/1990,1990,3,ligue_1
Racing Paris,Cannes,3-2,/match/racing-paris/as-cannes/1990,1990,3,ligue_1
Saint-Étienne,Stade Brestois,2-0,/match/saint-etienne/stade-brestois-29/1990,1990,3,ligue_1
Cannes,Lille,3-0,/match/as-cannes/lillestrom/1990,1990,4,ligue_1
Nantes,Racing Paris,5-1,/match/nantes/racing-paris/1990,1990,4,ligue_1
Olympique,Metz,2-1,/match/olympique-marsella/metz/1990,1990,4,ligue_1
Auxerre,Toulouse,2-2,/match/auxerre/toulouse-fc/1990,1990,4,ligue_1
PSG,Montpellier,2-1,/match/paris-saint-germain-fc/montpellier-hsc/1990,1990,4,ligue_1
Monaco,Saint-Étienne,0-0,/match/monaco/saint-etienne/1990,1990,4,ligue_1
FC Mulhouse,Sporting Toulon,4-0,/match/mulhouse/sporting-toulon/1990,1990,4,ligue_1
Olympique Lyonnais,Nice,2-0,/match/olympique-lyonnais/nice/1990,1990,4,ligue_1
Stade Brestois,Caen,2-1,/match/stade-brestois-29/caen/1990,1990,4,ligue_1
Girondins Bordeaux,Sochaux,1-0,/match/bordeaux/sochaux/1990,1990,4,ligue_1
Montpellier,Auxerre,1-0,/match/montpellier-hsc/auxerre/1990,1990,5,ligue_1
Toulouse,Nantes,1-1,/match/toulouse-fc/nantes/1990,1990,5,ligue_1
Nice,Olympique,1-1,/match/nice/olympique-marsella/1990,1990,5,ligue_1
Saint-Étienne,PSG,1-2,/match/saint-etienne/paris-saint-germain-fc/1990,1990,5,ligue_1
Sporting Toulon,Stade Brestois,2-0,/match/sporting-toulon/stade-brestois-29/1990,1990,5,ligue_1
