Real Madrid,Real Oviedo,5-2,Sat 05 May ,/match/real-madrid/real-oviedo/1990,1990,38,primera_division
Athletic,Rayo Vallecano,3-2,Sun 06 May ,/match/athletic-bilbao/rayo-vallecano/1990,1990,38,primera_division
Cádiz,Celta,1-0,Sun 06 May ,/match/cadiz/celta/1990,1990,38,primera_division
Real Sporting,Atlético,2-1,Sun 06 May ,/match/sporting-gijon/atletico-madrid/1990,1990,38,primera_division
CD Málaga,Tenerife,2-1,Sun 06 May ,/match/cd-malaga/tenerife/1990,1990,38,primera_division
Osasuna,CD Castellón,1-2,Sun 06 May ,/match/osasuna/cd-castellon/1990,1990,38,primera_division
Sevilla,R. Sociedad,0-1,Sun 06 May ,/match/sevilla/real-sociedad/1990,1990,38,primera_division
Valencia,CD Logroñés,4-0,Sun 06 May ,/match/valencia-cf/logrones-cd/1990,1990,38,primera_division
Real Valladolid,Mallorca,0-0,Sun 06 May ,/match/valladolid/mallorca/1990,1990,38,primera_division
Real Zaragoza,Barcelona,2-0,Sun 06 May ,/match/real-zaragoza/barcelona/1990,1990,38,primera_division
