Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away
Eintracht,Fortuna,3-2,/match/eintracht-frankfurt/fortuna-dusseldorf/1998,1998,1,2_liga,18,34,0,3,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Meppen,Zwickau,2-1,/match/meppen/zwickau/1998,1998,1,2_liga,18,34,0,2,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Carl Zeiss Jena,Wattenscheid 09,1-1,/match/fc-carl-zeiss-jena/wattenscheid-09/1998,1998,1,2_liga,18,34,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Unterhaching,Mainz 05,3-2,/match/unterhaching/mainz-amat/1998,1998,1,2_liga,18,34,0,3,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
KFC Uerdingen 05,Fortuna Köln,2-0,/match/kfc-uerdingen-05/fortuna-koln/1998,1998,1,2_liga,18,34,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Lokomotive Leipzig,Stuttgarter,3-1,/match/lokomotive-leipzig/stuttgarter-kickers/1998,1998,1,2_liga,18,34,0,3,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
SC Freiburg,Energie Cottbus,2-0,/match/sc-freiburg/energie-cottbus/1998,1998,1,2_liga,18,34,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Gutersloh,Nürnberg,4-2,/match/gutersloh/fc-nurnberg/1998,1998,1,2_liga,18,34,0,4,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Greuther Fürth,FC St. Pauli,0-0,/match/greuther-furth/st-pauli/1998,1998,1,2_liga,18,34,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
FC St. Pauli,Gutersloh,0-0,/match/st-pauli/gutersloh/1998,1998,2,2_liga,18,34,1,0,0,10,0,1,0,0,0,D,0,0,0,0,0,2,1,0,0,4,2,W,0,0,0,0,0,,
Fortuna Köln,Meppen,2-2,/match/fortuna-koln/meppen/1998,1998,2,2_liga,18,34,1,2,2,15,0,0,1,0,2,W,0,0,0,0,0,1,1,0,0,2,1,W,0,0,0,0,0,,
Fortuna,KFC Uerdingen 05,1-1,/match/fortuna-dusseldorf/kfc-uerdingen-05/1998,1998,2,2_liga,18,34,1,1,1,16,0,0,1,2,3,W,0,0,0,0,0,6,1,0,0,2,0,W,0,0,0,0,0,,
