,Team,City,Country,Stadium,Address,Capacity,Pitch
60,Xerez,Jerez de la Frontera,Spain,Estadio de la Juventud,Calle Blas Infante s/n,5700,Césped natural
61,Las Palmas,Las Palmas de Gran Canaria,Spain,Gran Canaria,Calle Fondos del Segura s/n,32400,Natural
62,UE Figueres,Figueras,Spain,Municipal de Vilatenim,"Avinguda Special Olympics, s/n, 17600 Figueres (Girona)",9472,Césped Artificial
63,UD Salamanca,,Spain,Helmántico,"Carretera Zamora, S/N 37184 Villares de la Reina, Salamanca (España)",17341,Césped Natural
64,Palamós,Palamós,Spain,Nou Estadi Municipal Palamós,"Passatge Ladislao Kubala, s/n, 17230 Palamós",5824,Natural
65,Recreativo,Huelva,Spain,Nuevo Colombino,Avenida del Decano del Fútbol Español s/n,21670,Natural
66,Atlético B,Madrid,Spain,Cerro del Espino,"Carretera de Pozuelo, S/N",3900,Césped natural
67,Real Betis,Sevilla,Spain,Benito Villamarín,"Avenida de la Palmera, 41012, Sevilla",60721,Natural
68,Espanyol,Cornellá de Llobregat,Spain,RCDE Stadium,"Avinguda Baix Llobregat, 100 08940 Cornellà de Llobregat",40423,Natural
69,Real Murcia,Murcia,Spain,Enrique Roca de Murcia,"Avda. del Estadio, Churra",31179,Natural
70,Levante,Valencia,Spain,Ciutat de Valencia,Calle San Vicente de Paúl 44,25354,Natural
71,Sestao Sport Club,,Spain,,,,
72,Eibar,Eibar,Spain,Municipal de Ipurua,Calle de Ipurua,8164,Natural
73,Racing,Santander,Spain,Campos de Sport de El Sardinero,C/ Real Racing Club s/n 39005 Santander (Cantabria),22222,Césped natural
74,RM Castilla,Madrid,Spain,Alfredo Di Stéfano,"Ciudad Deportiva del Real Madrid, Valdebebas",6000,Natural
75,Elche,Elche,Spain,Martínez Valero,"Avda. Manuel Martínez Valero, 3",33732,Natural
76,Milan,"Milano, Italia",Italy,San Siro,Via Piccolomini 5,82995,Natural
77,Sampdoria,"Génova, Italia",Italy,Stadio Luigi Ferraris,"Via Giovanni De Prà, 1",36703,Natural
78,Inter,"Milano, Italia",Italy,Stadio Giuseppe Meazza,Via Piccolomini 5,82995,Natural
79,Napoli,"Nápoles, Italia",Italy,San Paolo,Pizzale Vincenzo Tecchio,76824,Natural
80,Genoa,"Génova, Italia",Italy,Stadio Comunale Luigi Ferraris,"Via Giovanni De Prà, 1",36703,Natural
81,Atalanta,"Bérgamo, Italia",Italy,Stadio Atleti Azzurri d'Italia,"Viale Caio Giulio Cesare, 18",24726,Natural
82,Fiorentina,"Firenze, Italia",Italy,Stadio Artemio Franchi,Viale Manfredo Fanti 14,47290,Natural
83,Juventus,"Turín, Italia",Italy,Juventus Stadium,Strada Comunale di Altessano 131,41000,Natural
84,SSC Bari,Bari,Italy,Stadio Comunale San Nicola,Strada Provinciale Modugno-Carbonara,58270,Natural
85,Udinese,"Údine, Italia",Italy,Dacia Arena,"Piazza le Repubblica Argentina, 3",25000,Natural
86,Roma,Roma,Italy,Stadio Olimpico di Roma,"Viale dei Gladiatori, 2 / Via del Foro Italico",70634,Natural
87,Bologna,"Bolonia, Italia",Italy,Stadio Renato Dall'Ara,"Via Andrea Costa, 174",36532,Natural
88,Cremonese,Cremona,Italy,Stadio Giovanni Zini,"Via Persico, 19",20034,Natural
89,Lecce,Lecce,Italy,Stadio Via del Mar,Viale dello Stadio,36285,Natural
90,Hellas Verona,Verona,Italy,Stadio Marc'Antonio Bentegodi,Piazzale Olimpia,44799,Natural
91,Ascoli,Ascoli Piceno,Italy,Stadio Cino e Lillo Del Duca,"Via delle Zeppelle, 1",20853,Natural
92,Lazio,"Roma, Italia",Italy,Stadio Olimpico,"Viale dei Gladiatori, 2 / Via del Foro Italico",82656,Natural
93,Cesena,,Italy,Stadio Dino Manuzzi,"Via dello Stadio, 124",24026,Césped Artificial
94,KFC Uerdingen 05,Uerdingen,Germany,,,,
95,Eintracht,Frankfurt am Main,Germany,Commerzbank-Arena,Mörfelder Landstraße 362 60528 Frankfurt am Main,52300,Natural
96,Stuttgart,Stuttgart,Germany,Mercedes-Benz-Arena,"Mercedesstraße 87, 70372 Stuttgart",60469,Natural
97,Bayern München,München,Germany,Allianz Arena,Werner-Heisenberg-Allee 25,75000,Natural
98,Kaiserslautern,Kaiserslautern,Germany,Fritz-Walter-Stadion,Fritz-Walter-Straße 1 67663 Kaiserslautern,49780,Natural
99,B. Leverkusen,Leverkusen,Germany,BayArena,Bismarckstr. 122-124 51373 Leverkusen,30210,Natural
100,Köln,Köln,Germany,RheinEnergieStadion,Aachener Straße 999 50933 Köln,49968,Natural
101,Fortuna,Düsseldorf,Germany,ESPRIT arena,"Arena-Straße 1, 40474 Düsseldorf",54500,Natural
102,Hamburger SV,Hamburg,Germany,Volksparkstadion,"Sylvesterallee 7, 22525",57030,Natural
103,FC St. Pauli,Hamburg,Germany,Millerntor-Stadion,Auf dem Heiligengeistfeld 20359 Hamburg,29546,Natural
104,Werder Bremen,Bremen,Germany,Weserstadion,Franz-Böhmert-Straße 1c 28205 Bremen,42358,Natural
105,Nürnberg,Nürnberg,Germany,Grundig-Stadion,Max-Morlock-Platz 1,50000,Natural
106,Mönchengladbach,Mönchengladbach,Germany,Borussia-Park,Hennes-Weisweiler-Allee 1 41179 Mönchengladbach,54057,Natural
107,B. Dortmund,Dortmund,Germany,Signal Iduna Park,Strobelalle 50,81359,Natural
108,VfL Bochum,Bochum,Germany,rewirpowerSTADION,Castroper Straße 145 44791 Bochum,30748,Natural
109,Waldhof Mannheim,Mannheim,Germany,,,,
110,Karlsruher SC,Karlsruhe,Germany,Wildparkstadion,Adenauerring 17 76131 Karlsruhe,29699,Natural
111,FC 08 Homburg,Homburg,Germany,,,,
112,Real Madrid,Madrid,Spain,Santiago Bernabéu,"Avenida de Concha Espina 1, Chamartín",85454,Natural
113,Osasuna,Pamplona,Spain,El Sadar,Calle Sadar s/n 31006,18761,Natural
114,Atlético,Madrid,Spain,Wanda Metropolitano,"Avenida Luis Aragonés, 4",68000,Natural
115,Real Valladolid,Valladolid,Spain,Municipal José Zorrilla,Avenida del Mundial 82 s/n,26512,Natural
116,CD Logroñés,,,,,,
117,Sevilla,Sevilla,Spain,Ramón Sánchez Pizjuán,Avenida de Eduardo Dato,42714,Natural
118,Athletic,Bilbao,Spain,San Mamés,"Rafael Moreno Pitxitxi Kalea, s/n, 48013 Bilbao, Bizkaia",53332,Natural
119,Real Zaragoza,Zaragoza,Spain,La Romareda,Paseo Isabel La Católica s/n,34596,Natural
120,CD Málaga,,,,,,
121,Real Oviedo,Oviedo,Spain,Carlos Tartiere,"Calle de Ricardo Vázquez Prada, Barrio de la Ería",30500,Césped Natural
122,CD Castellón,Castellon de la Plana,Spain,Municipal de Castalia,"Calle Huesca, S/N",15700,Cesped natural
123,Celta,Vigo,Spain,Abanca Balaídos,Avenida de Balaídos,28700,Natural
124,Valencia,Valencia,Spain,Mestalla,"Av. de Suècia, s/n, 46010 València",55000,Natural
125,Barcelona,Barcelona,Spain,Camp Nou,Avda. Arístides Maillol s/n 08028 Barcelona,99787,Natural
126,Real Sporting,,Spain,El Molinón-Enrique Castro Quini,Parque de Isabel la Católica s/n,30000,Natural
127,R. Sociedad,San Sebastián,Spain,Anoeta,Anoeta pasealekua 20.014 Donostia - San Sebastián,32076,Natural
128,Cádiz,Cádiz,Spain,Nuevo Ramón de Carranza,"Plaza de Madrid, s/n 11010 Cádiz",25033,Césped natural
129,Mallorca,Palma de Mallorca,Spain,Visit Mallora Estadi,Camí dels Reis s/n,23142,Natural
130,Tenerife,Santa Cruz de Tenerife,Spain,Heliodoro Rodríguez López,Bernardino Semán s/n,24000,Natural
131,Rayo Vallecano,Puente de vallecas,Spain,Vallecas,Calle Payaso Fofó,15500,Natural
132,Wattenscheid 09,,Germany,Lohrheidestadion,"Lohrheidestraße 81-83, Wattenscheid",16233,Natural
133,Hertha BSC,Berlín,Germany,Olympiastadion Berlin,Olympischer Platz 3,76065,Natural
134,Unterhaching,Unterhaching,Germany,Sportpark Unterhaching,Am Sportpark 1,15053,Natural
135,Fortuna Köln,,Germany,Südstadion,Am Vorgebirgstor 2 50969 Köln,14944,Natural
136,MSV Duisburg,Duisburgo,Germany,Schauinsland-Reisen-Arena,Margaretenstraße 5-7,31514,Natural
137,Saarbrücken,,Germany,Stadion Ludwigspark,Camphauser Straße,35286,Natural
138,Braunschweig,Braunschweig,Germany,Eintracht-Stadion,Hamburger Straße 210 38112 Braunschweig,23325,Natural
139,Hessen Kassel,Hessen,Germany,,,,
140,VfL Osnabrück,,Germany,osnatel-ARENA,"Scharnhorststraße 50, 49084 Osnabrück",16130,Césped
141,Meppen,,Germany,MEP-Arena,Lathener Str. 15,16500,Natural
142,Blau-Weiß 1890 B.,Berlin,Germany,,,,
143,Schalke 04,Gelsenkirchen,Germany,VELTINS-Arena,Ernst-Kuzorra-Weg 1 45891 Gelsenkirchen,62271,Natural
144,RW Essen,,Germany,Stadion Essen,"Hafenstraße 97a, Bergeborbeck",20650,Natural
