Team,City,Country,Stadium,Address,Capacity,Pitch
Vitesse,Arnhem,Netherlands,GelreDome,Batavierenweg 25,28278,Natural
Den Bosch,Hertogenbosch,Netherlands,BrainWash Stadion De Vliert,"victorialaan 21, 5213JG, Hertogenbosch",9000,Natural
Fortuna Sittard,Sittard,Netherlands,Offermans Joosten stadion,"Milaanstraat 120, 6135 LH Sittard",12500,Natural
Sparta Rotterdam,Rótterdam,Netherlands,Sparta-Stadion Het Kasteel,"Spartapark Noord 1, 3027 VW ROTTERDAM",11026,Natural
Willem II,Tilburgo,Netherlands,Koning Willem II Stadion,Goirleseweg 34,14637,Natural
HFC Haarlem ,,,,,,
Groningen,Groninga,Netherlands,Euroborg,Boumaboulevard 41,22579,Natural
Feyenoord,Rótterdam,Netherlands,Stadion Feijenoord,Van Zandvlietplein 1,51777,Natural
ADO Den Haag,La Haya,Netherlands,Kyocera Stadion,Haags Kwartier 55,15000,Natural
Real Burgos CF,Burgos,Spain,San Amaro,"Ctra. de Valladolid, s/n. Burgos",1000,
Sabadell,Sabadell,Spain,Nova Creu Alta,Plaça Olímpia 1,11981,Natural
Bilbao Ath.,Bilbao,Spain,Instalaciones de Lezama,"Garaioltza Auzoa, 147 48196 Lezama, Vizcaya",2500,Natural
Deportivo,La Coruña,Spain,Municipal Riazor,Calle Manuel Murguía,34600,Natural
Xerez,Jerez de la Frontera,Spain,Estadio de la Juventud,Calle Blas Infante s/n,5700,Césped natural
Las Palmas,Las Palmas de Gran Canaria,Spain,Gran Canaria,Calle Fondos del Segura s/n,32400,Natural
UE Figueres,Figueras,Spain,Municipal de Vilatenim,"Avinguda Special Olympics, s/n, 17600 Figueres (Girona)",9472,Césped Artificial
UD Salamanca,,Spain,Helmántico,"Carretera Zamora, S/N 37184 Villares de la Reina, Salamanca (España)",17341,Césped Natural
Palamós,Palamós,Spain,Nou Estadi Municipal Palamós,"Passatge Ladislao Kubala, s/n, 17230 Palamós",5824,Natural
Recreativo,Huelva,Spain,Nuevo Colombino,Avenida del Decano del Fútbol Español s/n,21670,Natural
Atlético B,Madrid,Spain,Cerro del Espino,"Carretera de Pozuelo, S/N",3900,Césped natural
Real Betis,Sevilla,Spain,Benito Villamarín,"Avenida de la Palmera, 41012, Sevilla",60721,Natural
Espanyol,Cornellá de Llobregat,Spain,RCDE Stadium,"Avinguda Baix Llobregat, 100 08940 Cornellà de Llobregat",40423,Natural
Real Murcia,Murcia,Spain,Enrique Roca de Murcia,"Avda. del Estadio, Churra",31179,Natural
Levante,Valencia,Spain,Ciutat de Valencia,Calle San Vicente de Paúl 44,25354,Natural
Sestao Sport Club,,Spain,,,,
Eibar,Eibar,Spain,Municipal de Ipurua,Calle de Ipurua,8164,Natural
Racing,Santander,Spain,Campos de Sport de El Sardinero,C/ Real Racing Club s/n 39005 Santander (Cantabria),22222,Césped natural
RM Castilla,Madrid,Spain,Alfredo Di Stéfano,"Ciudad Deportiva del Real Madrid, Valdebebas",6000,Natural
Elche,Elche,Spain,Martínez Valero,"Avda. Manuel Martínez Valero, 3",33732,Natural
Milan,"Milano, Italia",Italy,San Siro,Via Piccolomini 5,82995,Natural
Sampdoria,"Génova, Italia",Italy,Stadio Luigi Ferraris,"Via Giovanni De Prà, 1",36703,Natural
Inter,"Milano, Italia",Italy,Stadio Giuseppe Meazza,Via Piccolomini 5,82995,Natural
Napoli,"Nápoles, Italia",Italy,San Paolo,Pizzale Vincenzo Tecchio,76824,Natural
Genoa,"Génova, Italia",Italy,Stadio Comunale Luigi Ferraris,"Via Giovanni De Prà, 1",36703,Natural
Atalanta,"Bérgamo, Italia",Italy,Stadio Atleti Azzurri d'Italia,"Viale Caio Giulio Cesare, 18",24726,Natural
Fiorentina,"Firenze, Italia",Italy,Stadio Artemio Franchi,Viale Manfredo Fanti 14,47290,Natural
Juventus,"Turín, Italia",Italy,Juventus Stadium,Strada Comunale di Altessano 131,41000,Natural
SSC Bari,Bari,Italy,Stadio Comunale San Nicola,Strada Provinciale Modugno-Carbonara,58270,Natural
Udinese,"Údine, Italia",Italy,Dacia Arena,"Piazza le Repubblica Argentina, 3",25000,Natural
Roma,Roma,Italy,Stadio Olimpico di Roma,"Viale dei Gladiatori, 2 / Via del Foro Italico",70634,Natural
Bologna,"Bolonia, Italia",Italy,Stadio Renato Dall'Ara,"Via Andrea Costa, 174",36532,Natural
Cremonese,Cremona,Italy,Stadio Giovanni Zini,"Via Persico, 19",20034,Natural
Lecce,Lecce,Italy,Stadio Via del Mar,Viale dello Stadio,36285,Natural
Hellas Verona,Verona,Italy,Stadio Marc'Antonio Bentegodi,Piazzale Olimpia,44799,Natural
Ascoli,Ascoli Piceno,Italy,Stadio Cino e Lillo Del Duca,"Via delle Zeppelle, 1",20853,Natural
Lazio,"Roma, Italia",Italy,Stadio Olimpico,"Viale dei Gladiatori, 2 / Via del Foro Italico",82656,Natural
Cesena,,Italy,Stadio Dino Manuzzi,"Via dello Stadio, 124",24026,Césped Artificial
KFC Uerdingen 05,Uerdingen,Germany,,,,
Eintracht,Frankfurt am Main,Germany,Commerzbank-Arena,Mörfelder Landstraße 362 60528 Frankfurt am Main,52300,Natural
Stuttgart,Stuttgart,Germany,Mercedes-Benz-Arena,"Mercedesstraße 87, 70372 Stuttgart",60469,Natural
Bayern München,München,Germany,Allianz Arena,Werner-Heisenberg-Allee 25,75000,Natural
Kaiserslautern,Kaiserslautern,Germany,Fritz-Walter-Stadion,Fritz-Walter-Straße 1 67663 Kaiserslautern,49780,Natural
B. Leverkusen,Leverkusen,Germany,BayArena,Bismarckstr. 122-124 51373 Leverkusen,30210,Natural
Köln,Köln,Germany,RheinEnergieStadion,Aachener Straße 999 50933 Köln,49968,Natural
Fortuna,Düsseldorf,Germany,ESPRIT arena,"Arena-Straße 1, 40474 Düsseldorf",54500,Natural
Hamburger SV,Hamburg,Germany,Volksparkstadion,"Sylvesterallee 7, 22525",57030,Natural
FC St. Pauli,Hamburg,Germany,Millerntor-Stadion,Auf dem Heiligengeistfeld 20359 Hamburg,29546,Natural
Werder Bremen,Bremen,Germany,Weserstadion,Franz-Böhmert-Straße 1c 28205 Bremen,42358,Natural
Nürnberg,Nürnberg,Germany,Grundig-Stadion,Max-Morlock-Platz 1,50000,Natural
Mönchengladbach,Mönchengladbach,Germany,Borussia-Park,Hennes-Weisweiler-Allee 1 41179 Mönchengladbach,54057,Natural
B. Dortmund,Dortmund,Germany,Signal Iduna Park,Strobelalle 50,81359,Natural
VfL Bochum,Bochum,Germany,rewirpowerSTADION,Castroper Straße 145 44791 Bochum,30748,Natural
Waldhof Mannheim,Mannheim,Germany,,,,
Karlsruher SC,Karlsruhe,Germany,Wildparkstadion,Adenauerring 17 76131 Karlsruhe,29699,Natural
FC 08 Homburg,Homburg,Germany,,,,
Real Madrid,Madrid,Spain,Santiago Bernabéu,"Avenida de Concha Espina 1, Chamartín",85454,Natural
Osasuna,Pamplona,Spain,El Sadar,Calle Sadar s/n 31006,18761,Natural
