1,Barcelona,2,1,0,0,3,0,20,1994,1,primera_division
2,Real Madrid,2,1,0,0,4,1,20,1994,1,primera_division
3,Athletic,2,1,0,0,4,1,20,1994,1,primera_division
4,Atlético,2,1,0,0,1,0,20,1994,1,primera_division
5,Tenerife,2,1,0,0,1,0,20,1994,1,primera_division
6,Valencia,2,1,0,0,3,0,20,1994,1,primera_division
7,Sevilla,2,1,0,0,2,1,20,1994,1,primera_division
8,Racing,2,1,0,0,1,0,20,1994,1,primera_division
9,Real Sporting,2,1,0,0,1,0,20,1994,1,primera_division
10,Celta,1,0,1,0,0,0,20,1994,1,primera_division
11,Deportivo,1,0,1,0,0,0,20,1994,1,primera_division
12,Real Zaragoza,0,0,0,1,1,2,20,1994,1,primera_division
13,CD Logroñés,0,0,0,1,0,1,20,1994,1,primera_division
14,Albacete,0,0,0,1,1,4,20,1994,1,primera_division
15,Real Oviedo,0,0,0,1,0,3,20,1994,1,primera_division
16,Rayo Vallecano,0,0,0,1,0,1,20,1994,1,primera_division
17,Lleida,0,0,0,1,0,1,20,1994,1,primera_division
18,Real Valladolid,0,0,0,1,0,1,20,1994,1,primera_division
19,R. Sociedad,0,0,0,1,0,3,20,1994,1,primera_division
20,Osasuna,0,0,0,1,1,4,20,1994,1,primera_division
1,Racing,4,2,0,0,2,0,20,1994,2,primera_division
2,Athletic,4,2,0,0,6,2,20,1994,2,primera_division
3,Deportivo,3,1,1,0,2,0,20,1994,2,primera_division
4,Barcelona,3,1,1,0,3,0,20,1994,2,primera_division
5,Sevilla,3,1,1,0,3,2,20,1994,2,primera_division
6,Atlético,3,1,1,0,3,2,20,1994,2,primera_division
7,Valencia,3,1,1,0,5,2,20,1994,2,primera_division
8,Real Sporting,2,1,0,1,1,2,20,1994,2,primera_division
9,Real Valladolid,2,1,0,1,3,2,20,1994,2,primera_division
10,Real Madrid,2,1,0,1,5,4,20,1994,2,primera_division
11,Tenerife,2,1,0,1,4,4,20,1994,2,primera_division
12,Rayo Vallecano,2,1,0,1,4,4,20,1994,2,primera_division
13,Celta,2,0,2,0,1,1,20,1994,2,primera_division
14,Albacete,1,0,1,1,1,4,20,1994,2,primera_division
15,Real Zaragoza,1,0,1,1,3,4,20,1994,2,primera_division
16,Real Oviedo,1,0,1,1,1,4,20,1994,2,primera_division
17,R. Sociedad,1,0,1,1,2,5,20,1994,2,primera_division
18,Osasuna,1,0,1,1,2,5,20,1994,2,primera_division
19,CD Logroñés,0,0,0,2,0,2,20,1994,2,primera_division
20,Lleida,0,0,0,2,1,3,20,1994,2,primera_division
1,Deportivo,5,2,1,0,6,0,20,1994,3,primera_division
2,Athletic,5,2,1,0,6,2,20,1994,3,primera_division
3,Atlético,5,2,1,0,6,4,20,1994,3,primera_division
4,Valencia,5,2,1,0,6,2,20,1994,3,primera_division
5,Barcelona,4,1,2,0,3,0,20,1994,3,primera_division
6,Racing,4,2,0,1,2,1,20,1994,3,primera_division
7,Tenerife,4,2,0,1,6,4,20,1994,3,primera_division
8,Sevilla,4,1,2,0,5,4,20,1994,3,primera_division
9,Rayo Vallecano,4,2,0,1,5,4,20,1994,3,primera_division
10,Real Sporting,4,2,0,1,2,2,20,1994,3,primera_division
11,R. Sociedad,3,1,1,1,4,5,20,1994,3,primera_division
12,Real Valladolid,3,1,1,1,5,4,20,1994,3,primera_division
13,Real Madrid,2,1,0,2,5,8,20,1994,3,primera_division
14,Celta,2,0,2,1,3,4,20,1994,3,primera_division
15,Albacete,2,0,2,1,2,5,20,1994,3,primera_division
16,Real Zaragoza,2,0,2,1,4,5,20,1994,3,primera_division
17,Osasuna,1,0,1,2,2,7,20,1994,3,primera_division
18,Real Oviedo,1,0,1,2,1,5,20,1994,3,primera_division
19,CD Logroñés,0,0,0,3,0,4,20,1994,3,primera_division
20,Lleida,0,0,0,3,1,4,20,1994,3,primera_division
1,Valencia,7,3,1,0,9,4,20,1994,4,primera_division
2,Athletic,7,3,1,0,8,3,20,1994,4,primera_division
3,Deportivo,6,2,2,0,6,0,20,1994,4,primera_division
4,Barcelona,6,2,2,0,7,1,20,1994,4,primera_division
5,Atlético,6,2,2,0,7,5,20,1994,4,primera_division
6,Racing,5,2,1,1,2,1,20,1994,4,primera_division
7,Sevilla,5,1,3,0,5,4,20,1994,4,primera_division
8,Real Sporting,5,2,1,1,3,3,20,1994,4,primera_division
9,R. Sociedad,5,2,1,1,5,5,20,1994,4,primera_division
10,Tenerife,4,2,0,2,8,7,20,1994,4,primera_division
11,Rayo Vallecano,4,2,0,2,6,6,20,1994,4,primera_division
12,Albacete,4,1,2,1,4,6,20,1994,4,primera_division
13,Real Oviedo,3,1,1,2,2,5,20,1994,4,primera_division
14,Real Valladolid,3,1,1,2,5,5,20,1994,4,primera_division
15,Celta,3,0,3,1,3,4,20,1994,4,primera_division
16,Real Madrid,2,1,0,3,5,9,20,1994,4,primera_division
17,Real Zaragoza,2,0,2,2,5,9,20,1994,4,primera_division
18,CD Logroñés,2,1,0,3,2,5,20,1994,4,primera_division
19,Osasuna,1,0,1,3,3,9,20,1994,4,primera_division
20,Lleida,0,0,0,4,2,6,20,1994,4,primera_division
1,Athletic,9,4,1,0,10,4,20,1994,5,primera_division
2,Barcelona,8,3,2,0,10,3,20,1994,5,primera_division
3,Valencia,8,3,2,0,10,5,20,1994,5,primera_division
4,Sevilla,7,2,3,0,7,4,20,1994,5,primera_division
5,R. Sociedad,7,3,1,1,6,5,20,1994,5,primera_division
6,Racing,7,3,1,1,4,1,20,1994,5,primera_division
