Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away
Bayern München,Mönchengladbach,3-0,/match/bayern-munchen/borussia-monchengla/2006,2006,1,bundesliga,18,34,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Hamburger SV,Nürnberg,3-0,/match/hamburger-sv/fc-nurnberg/2006,2006,1,bundesliga,18,34,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Köln,Mainz 05,1-0,/match/1-fc-koln/mainz-amat/2006,2006,1,bundesliga,18,34,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
MSV Duisburg,Stuttgart,1-1,/match/msv-duisburg/stuttgart/2006,2006,1,bundesliga,18,34,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Wolfsburg,B. Dortmund,2-2,/match/wolfsburg/borussia-dortmund/2006,2006,1,bundesliga,18,34,1,2,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Hannover 96,Hertha BSC,2-2,/match/hannover-96/hertha-bsc/2006,2006,1,bundesliga,18,34,1,2,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Werder Bremen,Arminia Bielefeld,5-2,/match/werder-bremen/arminia-bielefeld/2006,2006,1,bundesliga,18,34,0,5,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Schalke 04,Kaiserslautern,2-1,/match/schalke-04/kaiserslautern/2006,2006,1,bundesliga,18,34,0,2,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Eintracht,B. Leverkusen,1-4,/match/eintracht-frankfurt/bayer-leverkusen/2006,2006,1,bundesliga,18,34,2,1,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Hertha BSC,Eintracht,2-0,/match/hertha-bsc/eintracht-frankfurt/2006,2006,2,bundesliga,18,34,0,2,0,12,0,1,0,2,2,D,0,0,0,0,0,16,0,0,1,1,4,L,0,0,0,0,0,,
