Home_Team,Away_Team,Result,Link,Season,Round,League
Olhanense,Desportivo Aves,0-0,/match/sc-olhanense/desportivo-aves/2016,2016,6,segunda_liga
Leixões,Vitória,1-1,/match/leixoes/vitoria-guimar/2016,2016,6,segunda_liga
CD Santa Clara,Gil Vicente,0-2,/match/santa-clara/gil-vicente/2016,2016,6,segunda_liga
Benfica II,Academico Viseu,2-0,/match/benfica-ii/academico-viseu/2016,2016,6,segunda_liga
SC Freamunde,Chaves,2-1,/match/sc-freamunde/chaves/2016,2016,6,segunda_liga
Portimonense,Feirense,2-2,/match/portimonense/feirense/2016,2016,6,segunda_liga
Penafiel,UD Oliveirense,2-2,/match/penafiel/ud-oliveirense/2016,2016,6,segunda_liga
Famalicão,Porto II,2-4,/match/famalicao/porto-ii/2016,2016,6,segunda_liga
UD Oliveirense,Famalicão,2-2,/match/ud-oliveirense/famalicao/2016,2016,7,segunda_liga
Desportivo Aves,Benfica II,3-2,/match/desportivo-aves/benfica-ii/2016,2016,7,segunda_liga
Chaves,CD Santa Clara,1-0,/match/chaves/santa-clara/2016,2016,7,segunda_liga
Feirense,Oriental Lisboa,2-2,/match/feirense/oriental-lisboa/2016,2016,7,segunda_liga
Gil Vicente,Portimonense,2-2,/match/gil-vicente/portimonense/2016,2016,7,segunda_liga
Vitória,Atlético CP,0-0,/match/vitoria-guimar/atletico-cp/2016,2016,7,segunda_liga
Farense,Sporting Braga II,3-2,/match/farense/sporting-braga-ii/2016,2016,7,segunda_liga
Sporting CP II,Leixões,3-1,/match/sporting-cp-ii/leixoes/2016,2016,7,segunda_liga
Varzim,Olhanense,3-1,/match/varzim/sc-olhanense/2016,2016,7,segunda_liga
Porto II,Penafiel,3-1,/match/porto-ii/penafiel/2016,2016,7,segunda_liga
Academico Viseu,SC Freamunde,1-0,/match/academico-viseu/sc-freamunde/2016,2016,7,segunda_liga
Mafra,SP. Covilhã,1-2,/match/mafra/sporting-covilha/2016,2016,7,segunda_liga
Atlético CP,Porto II,2-3,/match/atletico-cp/porto-ii/2016,2016,8,segunda_liga
Olhanense,UD Oliveirense,2-0,/match/sc-olhanense/ud-oliveirense/2016,2016,8,segunda_liga
Benfica II,Gil Vicente,1-0,/match/benfica-ii/gil-vicente/2016,2016,8,segunda_liga
Sporting Braga II,Feirense,1-1,/match/sporting-braga-ii/feirense/2016,2016,8,segunda_liga
Leixões,Mafra,1-1,/match/leixoes/mafra/2016,2016,8,segunda_liga
Oriental Lisboa,Desportivo Aves,0-2,/match/oriental-lisboa/desportivo-aves/2016,2016,8,segunda_liga
Portimonense,SP. Covilhã,1-1,/match/portimonense/sporting-covilha/2016,2016,8,segunda_liga
CD Santa Clara,Farense,2-0,/match/santa-clara/farense/2016,2016,8,segunda_liga
Famalicão,Academico Viseu,0-0,/match/famalicao/academico-viseu/2016,2016,8,segunda_liga
SC Freamunde,Sporting CP II,1-2,/match/sc-freamunde/sporting-cp-ii/2016,2016,8,segunda_liga
Penafiel,Chaves,1-0,/match/penafiel/chaves/2016,2016,8,segunda_liga
Varzim,Vitória,1-0,/match/varzim/vitoria-guimar/2016,2016,8,segunda_liga
Porto II,Varzim,4-0,/match/porto-ii/varzim/2016,2016,9,segunda_liga
Gil Vicente,Oriental Lisboa,1-0,/match/gil-vicente/oriental-lisboa/2016,2016,9,segunda_liga
Farense,Portimonense,1-2,/match/farense/portimonense/2016,2016,9,segunda_liga
Mafra,CD Santa Clara,0-0,/match/mafra/santa-clara/2016,2016,9,segunda_liga
Chaves,Benfica II,1-1,/match/chaves/benfica-ii/2016,2016,9,segunda_liga
SP. Covilhã,Sporting Braga II,1-0,/match/sporting-covilha/sporting-braga-ii/2016,2016,9,segunda_liga
Sporting CP II,Olhanense,1-3,/match/sporting-cp-ii/sc-olhanense/2016,2016,9,segunda_liga
Vitória,Penafiel,2-3,/match/vitoria-guimar/penafiel/2016,2016,9,segunda_liga
Academico Viseu,Atlético CP,0-1,/match/academico-viseu/atletico-cp/2016,2016,9,segunda_liga
Feirense,Famalicão,2-1,/match/feirense/famalicao/2016,2016,9,segunda_liga
UD Oliveirense,SC Freamunde,0-0,/match/ud-oliveirense/sc-freamunde/2016,2016,9,segunda_liga
