Position,Team,Points,Win,Draw,Lose,Goals_For,Goals_Against,Number_Teams,Season,Round,League
1,Sochaux,3,1,0,0,4,1,22,1998,1,ligue_2
2,Beauvais Oise,3,1,0,0,5,3,22,1998,1,ligue_2
3,Troyes,3,1,0,0,4,2,22,1998,1,ligue_2
4,Amiens SC,3,1,0,0,3,1,22,1998,1,ligue_2
5,ES Wasquehal,3,1,0,0,2,1,22,1998,1,ligue_2
6,Louhans Cuiseaux,3,1,0,0,1,0,22,1998,1,ligue_2
7,Lorient,3,1,0,0,1,0,22,1998,1,ligue_2
8,Lille,1,0,1,0,2,2,22,1998,1,ligue_2
9,Saint-Étienne,1,0,1,0,2,2,22,1998,1,ligue_2
10,Niort,1,0,1,0,1,1,22,1998,1,ligue_2
11,Nice,1,0,1,0,1,1,22,1998,1,ligue_2
12,Red Star,1,0,1,0,1,1,22,1998,1,ligue_2
13,Valence,1,0,1,0,1,1,22,1998,1,ligue_2
14,FC Gueugnon,1,0,1,0,0,0,22,1998,1,ligue_2
15,Stade Lavallois,1,0,1,0,0,0,22,1998,1,ligue_2
16,FC Mulhouse,0,0,0,1,1,2,22,1998,1,ligue_2
17,Le Mans,0,0,0,1,0,1,22,1998,1,ligue_2
18,Sporting Toulon,0,0,0,1,0,1,22,1998,1,ligue_2
19,Nîmes,0,0,0,1,3,5,22,1998,1,ligue_2
20,Nancy,0,0,0,1,2,4,22,1998,1,ligue_2
21,Caen,0,0,0,1,1,3,22,1998,1,ligue_2
22,FC Martigues,0,0,0,1,1,4,22,1998,1,ligue_2
1,Sochaux,6,2,0,0,6,2,22,1998,2,ligue_2
2,Amiens SC,6,2,0,0,5,1,22,1998,2,ligue_2
3,Troyes,6,2,0,0,5,2,22,1998,2,ligue_2
4,Lille,4,1,1,0,9,5,22,1998,2,ligue_2
5,Beauvais Oise,4,1,1,0,6,4,22,1998,2,ligue_2
6,Red Star,4,1,1,0,2,1,22,1998,2,ligue_2
7,Lorient,4,1,1,0,2,1,22,1998,2,ligue_2
8,Nîmes,3,1,0,1,6,5,22,1998,2,ligue_2
9,FC Mulhouse,3,1,0,1,5,4,22,1998,2,ligue_2
10,ES Wasquehal,3,1,0,1,3,3,22,1998,2,ligue_2
11,Louhans Cuiseaux,3,1,0,1,1,1,22,1998,2,ligue_2
12,Nancy,3,1,0,1,4,5,22,1998,2,ligue_2
13,Nice,2,0,2,0,2,2,22,1998,2,ligue_2
14,Niort,2,0,2,0,1,1,22,1998,2,ligue_2
15,FC Gueugnon,2,0,2,0,0,0,22,1998,2,ligue_2
16,Valence,1,0,1,1,2,3,22,1998,2,ligue_2
17,Le Mans,1,0,1,1,1,2,22,1998,2,ligue_2
18,Stade Lavallois,1,0,1,1,0,2,22,1998,2,ligue_2
19,Saint-Étienne,1,0,1,1,2,5,22,1998,2,ligue_2
20,Sporting Toulon,0,0,0,2,0,2,22,1998,2,ligue_2
21,Caen,0,0,0,2,3,7,22,1998,2,ligue_2
22,FC Martigues,0,0,0,2,4,11,22,1998,2,ligue_2
1,Troyes,9,3,0,0,9,2,22,1998,3,ligue_2
2,Sochaux,7,2,1,0,6,2,22,1998,3,ligue_2
3,Amiens SC,7,2,1,0,5,1,22,1998,3,ligue_2
4,Beauvais Oise,7,2,1,0,8,5,22,1998,3,ligue_2
5,Lorient,7,2,1,0,5,2,22,1998,3,ligue_2
6,Lille,5,1,2,0,9,5,22,1998,3,ligue_2
7,FC Gueugnon,5,1,2,0,3,1,22,1998,3,ligue_2
8,Nîmes,4,1,1,1,6,5,22,1998,3,ligue_2
9,Stade Lavallois,4,1,1,1,3,2,22,1998,3,ligue_2
10,Le Mans,4,1,1,1,3,3,22,1998,3,ligue_2
11,Red Star,4,1,1,1,3,3,22,1998,3,ligue_2
12,Nancy,4,1,1,1,6,7,22,1998,3,ligue_2
13,Nice,3,0,3,0,2,2,22,1998,3,ligue_2
14,Niort,3,0,3,0,1,1,22,1998,3,ligue_2
15,FC Mulhouse,3,1,0,2,5,7,22,1998,3,ligue_2
16,Louhans Cuiseaux,3,1,0,2,2,4,22,1998,3,ligue_2
17,ES Wasquehal,3,1,0,2,3,7,22,1998,3,ligue_2
18,Valence,2,0,2,1,2,3,22,1998,3,ligue_2
19,Caen,1,0,1,2,5,9,22,1998,3,ligue_2
20,Saint-Étienne,1,0,1,2,3,7,22,1998,3,ligue_2
21,FC Martigues,1,0,1,2,4,11,22,1998,3,ligue_2
22,Sporting Toulon,0,0,0,3,1,5,22,1998,3,ligue_2
1,Troyes,12,4,0,0,11,3,22,1998,4,ligue_2
2,Lorient,10,3,1,0,7,3,22,1998,4,ligue_2
3,Amiens SC,8,2,2,0,6,2,22,1998,4,ligue_2
4,Sochaux,7,2,1,1,7,4,22,1998,4,ligue_2
5,Beauvais Oise,7,2,1,1,10,8,22,1998,4,ligue_2
6,Nancy,7,2,1,1,8,7,22,1998,4,ligue_2
7,Red Star,7,2,1,1,4,3,22,1998,4,ligue_2
8,Lille,6,1,3,0,9,5,22,1998,4,ligue_2
9,FC Mulhouse,6,2,0,2,8,7,22,1998,4,ligue_2
10,Nice,6,1,3,0,4,3,22,1998,4,ligue_2
11,ES Wasquehal,6,2,0,2,6,9,22,1998,4,ligue_2
12,Nîmes,5,1,2,1,6,5,22,1998,4,ligue_2
13,FC Gueugnon,5,1,2,1,4,3,22,1998,4,ligue_2
14,Valence,5,1,2,1,4,4,22,1998,4,ligue_2
15,Le Mans,5,1,2,1,3,3,22,1998,4,ligue_2
16,Stade Lavallois,4,1,1,2,3,4,22,1998,4,ligue_2
17,Louhans Cuiseaux,4,1,1,2,3,5,22,1998,4,ligue_2
