Home_Team,Away_Team,Result,Link,Season,Round,League
Watford,Middlesbrough,1-0,/match/watford-fc/middlesbrough-fc/2021,2021,1,championship
Birmingham City,Brentford,1-0,/match/birmingham-city-fc/brentford/2021,2021,1,championship
Wycombe Wanderers,Rotherham United,0-1,/match/wycombe-wanderers/rotherham-united/2021,2021,1,championship
AFC Bournemouth,Blackburn Rovers,3-2,/match/afc-bournemouth/blackburn-rovers-fc/2021,2021,1,championship
Barnsley,Luton Town,0-1,/match/barnsley-fc/luton-town-fc/2021,2021,1,championship
Bristol City,Coventry City,2-1,/match/bristol-city-fc/coventry-city/2021,2021,1,championship
Cardiff City,Sheffield,0-2,/match/cardiff-city-fc/sheffield-wednesday-fc/2021,2021,1,championship
Derby County,Reading,0-2,/match/derby-county-fc/reading-fc/2021,2021,1,championship
Huddersfield Town,Norwich City,0-1,/match/huddersfield-town-fc/norwich-city-fc/2021,2021,1,championship
Millwall,Stoke City,0-0,/match/millwall-fc/stoke-city/2021,2021,1,championship
Preston North End,Swansea City,0-1,/match/preston-north-end/swansea-city-afc/2021,2021,1,championship
Queens Park Range.,Nottingham Forest,2-0,/match/queens-park-rangers-fc/nottingham-forest-fc/2021,2021,1,championship
Coventry City,Queens Park Range.,3-2,/match/coventry-city/queens-park-rangers-fc/2021,2021,2,championship
Nottingham Forest,Cardiff City,0-2,/match/nottingham-forest-fc/cardiff-city-fc/2021,2021,2,championship
Blackburn Rovers,Wycombe Wanderers,5-0,/match/blackburn-rovers-fc/wycombe-wanderers/2021,2021,2,championship
Brentford,Huddersfield Town,3-0,/match/brentford/huddersfield-town-fc/2021,2021,2,championship
Luton Town,Derby County,2-1,/match/luton-town-fc/derby-county-fc/2021,2021,2,championship
Middlesbrough,AFC Bournemouth,1-1,/match/middlesbrough-fc/afc-bournemouth/2021,2021,2,championship
Norwich City,Preston North End,2-2,/match/norwich-city-fc/preston-north-end/2021,2021,2,championship
Reading,Barnsley,2-0,/match/reading-fc/barnsley-fc/2021,2021,2,championship
Rotherham United,Millwall,0-1,/match/rotherham-united/millwall-fc/2021,2021,2,championship
Sheffield,Watford,0-0,/match/sheffield-wednesday-fc/watford-fc/2021,2021,2,championship
Swansea City,Birmingham City,0-0,/match/swansea-city-afc/birmingham-city-fc/2021,2021,2,championship
Stoke City,Bristol City,0-2,/match/stoke-city/bristol-city-fc/2021,2021,2,championship
Huddersfield Town,Nottingham Forest,1-0,/match/huddersfield-town-fc/nottingham-forest-fc/2021,2021,3,championship
Watford,Luton Town,1-0,/match/watford-fc/luton-town-fc/2021,2021,3,championship
Wycombe Wanderers,Swansea City,0-2,/match/wycombe-wanderers/swansea-city-afc/2021,2021,3,championship
Barnsley,Coventry City,0-0,/match/barnsley-fc/coventry-city/2021,2021,3,championship
Birmingham City,Rotherham United,1-1,/match/birmingham-city-fc/rotherham-united/2021,2021,3,championship
Cardiff City,Reading,1-2,/match/cardiff-city-fc/reading-fc/2021,2021,3,championship
Derby County,Blackburn Rovers,0-4,/match/derby-county-fc/blackburn-rovers-fc/2021,2021,3,championship
Millwall,Brentford,1-1,/match/millwall-fc/brentford/2021,2021,3,championship
Preston North End,Stoke City,0-1,/match/preston-north-end/stoke-city/2021,2021,3,championship
Queens Park Range.,Middlesbrough,1-1,/match/queens-park-rangers-fc/middlesbrough-fc/2021,2021,3,championship
Bristol City,Sheffield,2-0,/match/bristol-city-fc/sheffield-wednesday-fc/2021,2021,3,championship
AFC Bournemouth,Norwich City,1-0,/match/afc-bournemouth/norwich-city-fc/2021,2021,3,championship
Coventry City,AFC Bournemouth,1-3,/match/coventry-city/afc-bournemouth/2021,2021,4,championship
Norwich City,Derby County,0-1,/match/norwich-city-fc/derby-county-fc/2021,2021,4,championship
Blackburn Rovers,Cardiff City,0-0,/match/blackburn-rovers-fc/cardiff-city-fc/2021,2021,4,championship
Luton Town,Wycombe Wanderers,2-0,/match/luton-town-fc/wycombe-wanderers/2021,2021,4,championship
Middlesbrough,Barnsley,2-1,/match/middlesbrough-fc/barnsley-fc/2021,2021,4,championship
Nottingham Forest,Bristol City,1-2,/match/nottingham-forest-fc/bristol-city-fc/2021,2021,4,championship
Reading,Watford,1-0,/match/reading-fc/watford-fc/2021,2021,4,championship
Rotherham United,Huddersfield Town,1-1,/match/rotherham-united/huddersfield-town-fc/2021,2021,4,championship
Sheffield,Queens Park Range.,1-1,/match/sheffield-wednesday-fc/queens-park-rangers-fc/2021,2021,4,championship
Swansea City,Millwall,2-1,/match/swansea-city-afc/millwall-fc/2021,2021,4,championship
Brentford,Preston North End,2-4,/match/brentford/preston-north-end/2021,2021,4,championship
Stoke City,Birmingham City,1-1,/match/stoke-city/birmingham-city-fc/2021,2021,4,championship
Derby County,Watford,0-1,/match/derby-county-fc/watford-fc/2021,2021,5,championship
AFC Bournemouth,Queens Park Range.,0-0,/match/afc-bournemouth/queens-park-rangers-fc/2021,2021,5,championship
