Position,Team,Points,Win,Draw,Lose,Goals_For,Goals_Against,Number_Teams,Season,Round,League
1,Olympique Lyonnais,3,1,0,0,3,1,20,2007,1,ligue_1
2,Girondins Bordeaux,3,1,0,0,2,0,20,2007,1,ligue_1
3,Lorient,3,1,0,0,3,2,20,2007,1,ligue_1
4,Lille,3,1,0,0,2,1,20,2007,1,ligue_1
5,Sochaux,3,1,0,0,2,1,20,2007,1,ligue_1
6,Le Mans,3,1,0,0,1,0,20,2007,1,ligue_1
7,Lens,3,1,0,0,1,0,20,2007,1,ligue_1
8,Nancy,3,1,0,0,1,0,20,2007,1,ligue_1
9,Auxerre,1,0,1,0,1,1,20,2007,1,ligue_1
10,Valenciennes,1,0,1,0,1,1,20,2007,1,ligue_1
11,Olympique,1,0,1,0,0,0,20,2007,1,ligue_1
12,Sedan,1,0,1,0,0,0,20,2007,1,ligue_1
13,PSG,0,0,0,1,2,3,20,2007,1,ligue_1
14,Stade Rennais,0,0,0,1,1,2,20,2007,1,ligue_1
15,Saint-Étienne,0,0,0,1,1,2,20,2007,1,ligue_1
16,Monaco,0,0,0,1,0,1,20,2007,1,ligue_1
17,Nice,0,0,0,1,0,1,20,2007,1,ligue_1
18,Troyes,0,0,0,1,0,1,20,2007,1,ligue_1
19,Nantes,0,0,0,1,1,3,20,2007,1,ligue_1
20,Toulouse,0,0,0,1,0,2,20,2007,1,ligue_1
1,Lille,6,2,0,0,6,1,20,2007,2,ligue_1
2,Nancy,6,2,0,0,4,1,20,2007,2,ligue_1
3,Girondins Bordeaux,6,2,0,0,3,0,20,2007,2,ligue_1
4,Olympique Lyonnais,4,1,1,0,4,2,20,2007,2,ligue_1
5,Olympique,4,1,1,0,2,0,20,2007,2,ligue_1
6,Le Mans,4,1,1,0,3,2,20,2007,2,ligue_1
7,Sochaux,4,1,1,0,3,2,20,2007,2,ligue_1
8,Saint-Étienne,3,1,0,1,3,3,20,2007,2,ligue_1
