Home_Team,Away_Team,Result,Link,Season,Round,League
Bayern München,Mönchengladbach,3-1,/match/bayern-munchen/borussia-monchengla/2014,2014,1,bundesliga
B. Leverkusen,SC Freiburg,3-1,/match/bayer-leverkusen/sc-freiburg/2014,2014,1,bundesliga
Hannover 96,Wolfsburg,2-0,/match/hannover-96/wolfsburg/2014,2014,1,bundesliga
FC Augsburg,B. Dortmund,0-4,/match/fc-augsburg/borussia-dortmund/2014,2014,1,bundesliga
Hertha BSC,Eintracht,6-1,/match/hertha-bsc/eintracht-frankfurt/2014,2014,1,bundesliga
Hoffenheim,Nürnberg,2-2,/match/tsg-1899-hoffenheim/fc-nurnberg/2014,2014,1,bundesliga
Braunschweig,Werder Bremen,0-1,/match/eintracht-brau-hellip/werder-bremen/2014,2014,1,bundesliga
Mainz 05,Stuttgart,3-2,/match/mainz-amat/stuttgart/2014,2014,1,bundesliga
Schalke 04,Hamburger SV,3-3,/match/schalke-04/hamburger-sv/2014,2014,1,bundesliga
Stuttgart,B. Leverkusen,0-1,/match/stuttgart/bayer-leverkusen/2014,2014,2,bundesliga
Wolfsburg,Schalke 04,4-0,/match/wolfsburg/schalke-04/2014,2014,2,bundesliga
Werder Bremen,FC Augsburg,1-0,/match/werder-bremen/fc-augsburg/2014,2014,2,bundesliga
SC Freiburg,Mainz 05,1-2,/match/sc-freiburg/mainz-amat/2014,2014,2,bundesliga
Hamburger SV,Hoffenheim,1-5,/match/hamburger-sv/tsg-1899-hoffenheim/2014,2014,2,bundesliga
Eintracht,Bayern München,0-1,/match/eintracht-frankfurt/bayern-munchen/2014,2014,2,bundesliga
Mönchengladbach,Hannover 96,3-0,/match/borussia-monchengla/hannover-96/2014,2014,2,bundesliga
Nürnberg,Hertha BSC,2-2,/match/fc-nurnberg/hertha-bsc/2014,2014,2,bundesliga
B. Dortmund,Braunschweig,2-1,/match/borussia-dortmund/eintracht-brau-hellip/2014,2014,2,bundesliga
B. Dortmund,Werder Bremen,1-0,/match/borussia-dortmund/werder-bremen/2014,2014,3,bundesliga
Bayern München,Nürnberg,2-0,/match/bayern-munchen/fc-nurnberg/2014,2014,3,bundesliga
B. Leverkusen,Mönchengladbach,4-2,/match/bayer-leverkusen/borussia-monchengla/2014,2014,3,bundesliga
Hannover 96,Schalke 04,2-1,/match/hannover-96/schalke-04/2014,2014,3,bundesliga
Hoffenheim,SC Freiburg,3-3,/match/tsg-1899-hoffenheim/sc-freiburg/2014,2014,3,bundesliga
Mainz 05,Wolfsburg,2-0,/match/mainz-amat/wolfsburg/2014,2014,3,bundesliga
Hertha BSC,Hamburger SV,1-0,/match/hertha-bsc/hamburger-sv/2014,2014,3,bundesliga
Braunschweig,Eintracht,0-2,/match/eintracht-brau-hellip/eintracht-frankfurt/2014,2014,3,bundesliga
FC Augsburg,Stuttgart,2-1,/match/fc-augsburg/stuttgart/2014,2014,3,bundesliga
SC Freiburg,Bayern München,1-1,/match/sc-freiburg/bayern-munchen/2014,2014,4,bundesliga
Mönchengladbach,Werder Bremen,4-1,/match/borussia-monchengla/werder-bremen/2014,2014,4,bundesliga
Hannover 96,Mainz 05,4-1,/match/hannover-96/mainz-amat/2014,2014,4,bundesliga
Wolfsburg,Hertha BSC,2-0,/match/wolfsburg/hertha-bsc/2014,2014,4,bundesliga
Nürnberg,FC Augsburg,0-1,/match/fc-nurnberg/fc-augsburg/2014,2014,4,bundesliga
Hamburger SV,Braunschweig,4-0,/match/hamburger-sv/eintracht-brau-hellip/2014,2014,4,bundesliga
Schalke 04,B. Leverkusen,2-0,/match/schalke-04/bayer-leverkusen/2014,2014,4,bundesliga
Stuttgart,Hoffenheim,6-2,/match/stuttgart/tsg-1899-hoffenheim/2014,2014,4,bundesliga
Eintracht,B. Dortmund,1-2,/match/eintracht-frankfurt/borussia-dortmund/2014,2014,4,bundesliga
Hertha BSC,Stuttgart,0-1,/match/hertha-bsc/stuttgart/2014,2014,5,bundesliga
Bayern München,Hannover 96,2-0,/match/bayern-munchen/hannover-96/2014,2014,5,bundesliga
B. Leverkusen,Wolfsburg,3-1,/match/bayer-leverkusen/wolfsburg/2014,2014,5,bundesliga
Werder Bremen,Eintracht,0-3,/match/werder-bremen/eintracht-frankfurt/2014,2014,5,bundesliga
Mainz 05,Schalke 04,0-1,/match/mainz-amat/schalke-04/2014,2014,5,bundesliga
FC Augsburg,SC Freiburg,2-1,/match/fc-augsburg/sc-freiburg/2014,2014,5,bundesliga
B. Dortmund,Hamburger SV,6-2,/match/borussia-dortmund/hamburger-sv/2014,2014,5,bundesliga
Hoffenheim,Mönchengladbach,2-1,/match/tsg-1899-hoffenheim/borussia-monchengla/2014,2014,5,bundesliga
Braunschweig,Nürnberg,1-1,/match/eintracht-brau-hellip/fc-nurnberg/2014,2014,5,bundesliga
Mönchengladbach,Braunschweig,4-1,/match/borussia-monchengla/eintracht-brau-hellip/2014,2014,6,bundesliga
Hannover 96,FC Augsburg,2-1,/match/hannover-96/fc-augsburg/2014,2014,6,bundesliga
Wolfsburg,Hoffenheim,2-1,/match/wolfsburg/tsg-1899-hoffenheim/2014,2014,6,bundesliga
Nürnberg,B. Dortmund,1-1,/match/fc-nurnberg/borussia-dortmund/2014,2014,6,bundesliga
Mainz 05,B. Leverkusen,1-4,/match/mainz-amat/bayer-leverkusen/2014,2014,6,bundesliga
Hamburger SV,Werder Bremen,0-2,/match/hamburger-sv/werder-bremen/2014,2014,6,bundesliga
Schalke 04,Bayern München,0-4,/match/schalke-04/bayern-munchen/2014,2014,6,bundesliga
SC Freiburg,Hertha BSC,1-1,/match/sc-freiburg/hertha-bsc/2014,2014,6,bundesliga
Stuttgart,Eintracht,1-1,/match/stuttgart/eintracht-frankfurt/2014,2014,6,bundesliga
FC Augsburg,Mönchengladbach,2-2,/match/fc-augsburg/borussia-monchengla/2014,2014,7,bundesliga
B. Dortmund,SC Freiburg,5-0,/match/borussia-dortmund/sc-freiburg/2014,2014,7,bundesliga
Bayern München,Wolfsburg,1-0,/match/bayern-munchen/wolfsburg/2014,2014,7,bundesliga
B. Leverkusen,Hannover 96,2-0,/match/bayer-leverkusen/hannover-96/2014,2014,7,bundesliga
Hoffenheim,Schalke 04,3-3,/match/tsg-1899-hoffenheim/schalke-04/2014,2014,7,bundesliga
Hertha BSC,Mainz 05,3-1,/match/hertha-bsc/mainz-amat/2014,2014,7,bundesliga
Eintracht,Hamburger SV,2-2,/match/eintracht-frankfurt/hamburger-sv/2014,2014,7,bundesliga
Werder Bremen,Nürnberg,3-3,/match/werder-bremen/fc-nurnberg/2014,2014,7,bundesliga
Braunschweig,Stuttgart,0-4,/match/eintracht-brau-hellip/stuttgart/2014,2014,7,bundesliga
Hannover 96,Hertha BSC,1-1,/match/hannover-96/hertha-bsc/2014,2014,8,bundesliga
Schalke 04,FC Augsburg,4-1,/match/schalke-04/fc-augsburg/2014,2014,8,bundesliga
Mönchengladbach,B. Dortmund,2-0,/match/borussia-monchengla/borussia-dortmund/2014,2014,8,bundesliga
Stuttgart,Werder Bremen,1-1,/match/stuttgart/werder-bremen/2014,2014,8,bundesliga
Wolfsburg,Braunschweig,0-2,/match/wolfsburg/eintracht-brau-hellip/2014,2014,8,bundesliga
Mainz 05,Hoffenheim,2-2,/match/mainz-amat/tsg-1899-hoffenheim/2014,2014,8,bundesliga
B. Leverkusen,Bayern München,1-1,/match/bayer-leverkusen/bayern-munchen/2014,2014,8,bundesliga
Nürnberg,Hamburger SV,0-5,/match/fc-nurnberg/hamburger-sv/2014,2014,8,bundesliga
SC Freiburg,Eintracht,1-1,/match/sc-freiburg/eintracht-frankfurt/2014,2014,8,bundesliga
Hoffenheim,B. Leverkusen,1-2,/match/tsg-1899-hoffenheim/bayer-leverkusen/2014,2014,9,bundesliga
B. Dortmund,Hannover 96,1-0,/match/borussia-dortmund/hannover-96/2014,2014,9,bundesliga
Bayern München,Mainz 05,4-1,/match/bayern-munchen/mainz-amat/2014,2014,9,bundesliga
Werder Bremen,SC Freiburg,0-0,/match/werder-bremen/sc-freiburg/2014,2014,9,bundesliga
Braunschweig,Schalke 04,2-3,/match/eintracht-brau-hellip/schalke-04/2014,2014,9,bundesliga
Eintracht,Nürnberg,1-1,/match/eintracht-frankfurt/fc-nurnberg/2014,2014,9,bundesliga
Hertha BSC,Mönchengladbach,1-0,/match/hertha-bsc/borussia-monchengla/2014,2014,9,bundesliga
Hamburger SV,Stuttgart,3-3,/match/hamburger-sv/stuttgart/2014,2014,9,bundesliga
FC Augsburg,Wolfsburg,1-2,/match/fc-augsburg/wolfsburg/2014,2014,9,bundesliga
Stuttgart,Nürnberg,1-1,/match/stuttgart/fc-nurnberg/2014,2014,10,bundesliga
Bayern München,Hertha BSC,3-2,/match/bayern-munchen/hertha-bsc/2014,2014,10,bundesliga
Schalke 04,B. Dortmund,1-3,/match/schalke-04/borussia-dortmund/2014,2014,10,bundesliga
B. Leverkusen,FC Augsburg,2-1,/match/bayer-leverkusen/fc-augsburg/2014,2014,10,bundesliga
Hannover 96,Hoffenheim,1-4,/match/hannover-96/tsg-1899-hoffenheim/2014,2014,10,bundesliga
Mainz 05,Braunschweig,2-0,/match/mainz-amat/eintracht-brau-hellip/2014,2014,10,bundesliga
Wolfsburg,Werder Bremen,3-0,/match/wolfsburg/werder-bremen/2014,2014,10,bundesliga
SC Freiburg,Hamburger SV,0-3,/match/sc-freiburg/hamburger-sv/2014,2014,10,bundesliga
Mönchengladbach,Eintracht,4-1,/match/borussia-monchengla/eintracht-frankfurt/2014,2014,10,bundesliga
B. Dortmund,Stuttgart,6-1,/match/borussia-dortmund/stuttgart/2014,2014,11,bundesliga
Nürnberg,SC Freiburg,0-3,/match/fc-nurnberg/sc-freiburg/2014,2014,11,bundesliga
Hoffenheim,Bayern München,1-2,/match/tsg-1899-hoffenheim/bayern-munchen/2014,2014,11,bundesliga
Hamburger SV,Mönchengladbach,0-2,/match/hamburger-sv/borussia-monchengla/2014,2014,11,bundesliga
Braunschweig,B. Leverkusen,1-0,/match/eintracht-brau-hellip/bayer-leverkusen/2014,2014,11,bundesliga
Hertha BSC,Schalke 04,0-2,/match/hertha-bsc/schalke-04/2014,2014,11,bundesliga
Eintracht,Wolfsburg,1-2,/match/eintracht-frankfurt/wolfsburg/2014,2014,11,bundesliga
FC Augsburg,Mainz 05,2-1,/match/fc-augsburg/mainz-amat/2014,2014,11,bundesliga
Werder Bremen,Hannover 96,3-2,/match/werder-bremen/hannover-96/2014,2014,11,bundesliga
Hannover 96,Braunschweig,0-0,/match/hannover-96/eintracht-brau-hellip/2014,2014,12,bundesliga
Bayern München,FC Augsburg,3-0,/match/bayern-munchen/fc-augsburg/2014,2014,12,bundesliga
Schalke 04,Werder Bremen,3-1,/match/schalke-04/werder-bremen/2014,2014,12,bundesliga
B. Leverkusen,Hamburger SV,5-3,/match/bayer-leverkusen/hamburger-sv/2014,2014,12,bundesliga
Wolfsburg,B. Dortmund,2-1,/match/wolfsburg/borussia-dortmund/2014,2014,12,bundesliga
Hoffenheim,Hertha BSC,2-3,/match/tsg-1899-hoffenheim/hertha-bsc/2014,2014,12,bundesliga
Mönchengladbach,Nürnberg,3-1,/match/borussia-monchengla/fc-nurnberg/2014,2014,12,bundesliga
Mainz 05,Eintracht,1-0,/match/mainz-amat/eintracht-frankfurt/2014,2014,12,bundesliga
SC Freiburg,Stuttgart,1-3,/match/sc-freiburg/stuttgart/2014,2014,12,bundesliga
Stuttgart,Mönchengladbach,0-2,/match/stuttgart/borussia-monchengla/2014,2014,13,bundesliga
Nürnberg,Wolfsburg,1-1,/match/fc-nurnberg/wolfsburg/2014,2014,13,bundesliga
FC Augsburg,Hoffenheim,2-0,/match/fc-augsburg/tsg-1899-hoffenheim/2014,2014,13,bundesliga
Braunschweig,SC Freiburg,0-1,/match/eintracht-brau-hellip/sc-freiburg/2014,2014,13,bundesliga
Eintracht,Schalke 04,3-3,/match/eintracht-frankfurt/schalke-04/2014,2014,13,bundesliga
Hertha BSC,B. Leverkusen,0-1,/match/hertha-bsc/bayer-leverkusen/2014,2014,13,bundesliga
B. Dortmund,Bayern München,0-3,/match/borussia-dortmund/bayern-munchen/2014,2014,13,bundesliga
Hamburger SV,Hannover 96,3-1,/match/hamburger-sv/hannover-96/2014,2014,13,bundesliga
Werder Bremen,Mainz 05,2-3,/match/werder-bremen/mainz-amat/2014,2014,13,bundesliga
Wolfsburg,Hamburger SV,1-1,/match/wolfsburg/hamburger-sv/2014,2014,14,bundesliga
Bayern München,Braunschweig,2-0,/match/bayern-munchen/eintracht-brau-hellip/2014,2014,14,bundesliga
B. Leverkusen,Nürnberg,3-0,/match/bayer-leverkusen/fc-nurnberg/2014,2014,14,bundesliga
Hoffenheim,Werder Bremen,4-4,/match/tsg-1899-hoffenheim/werder-bremen/2014,2014,14,bundesliga
Mainz 05,B. Dortmund,1-3,/match/mainz-amat/borussia-dortmund/2014,2014,14,bundesliga
Hertha BSC,FC Augsburg,0-0,/match/hertha-bsc/fc-augsburg/2014,2014,14,bundesliga
Schalke 04,Stuttgart,3-0,/match/schalke-04/stuttgart/2014,2014,14,bundesliga
Hannover 96,Eintracht,2-0,/match/hannover-96/eintracht-frankfurt/2014,2014,14,bundesliga
Mönchengladbach,SC Freiburg,1-0,/match/borussia-monchengla/sc-freiburg/2014,2014,14,bundesliga
Nürnberg,Mainz 05,1-1,/match/fc-nurnberg/mainz-amat/2014,2014,15,bundesliga
Mönchengladbach,Schalke 04,2-1,/match/borussia-monchengla/schalke-04/2014,2014,15,bundesliga
Stuttgart,Hannover 96,4-2,/match/stuttgart/hannover-96/2014,2014,15,bundesliga
Werder Bremen,Bayern München,0-7,/match/werder-bremen/bayern-munchen/2014,2014,15,bundesliga
Hamburger SV,FC Augsburg,0-1,/match/hamburger-sv/fc-augsburg/2014,2014,15,bundesliga
Eintracht,Hoffenheim,1-2,/match/eintracht-frankfurt/tsg-1899-hoffenheim/2014,2014,15,bundesliga
B. Dortmund,B. Leverkusen,0-1,/match/borussia-dortmund/bayer-leverkusen/2014,2014,15,bundesliga
SC Freiburg,Wolfsburg,0-3,/match/sc-freiburg/wolfsburg/2014,2014,15,bundesliga
Braunschweig,Hertha BSC,0-2,/match/eintracht-brau-hellip/hertha-bsc/2014,2014,15,bundesliga
Hertha BSC,Werder Bremen,3-2,/match/hertha-bsc/werder-bremen/2014,2014,16,bundesliga
Bayern München,Hamburger SV,3-1,/match/bayern-munchen/hamburger-sv/2014,2014,16,bundesliga
Hannover 96,Nürnberg,3-3,/match/hannover-96/fc-nurnberg/2014,2014,16,bundesliga
Hoffenheim,B. Dortmund,2-2,/match/tsg-1899-hoffenheim/borussia-dortmund/2014,2014,16,bundesliga
Mainz 05,Mönchengladbach,0-0,/match/mainz-amat/borussia-monchengla/2014,2014,16,bundesliga
FC Augsburg,Braunschweig,4-1,/match/fc-augsburg/eintracht-brau-hellip/2014,2014,16,bundesliga
Wolfsburg,Stuttgart,3-1,/match/wolfsburg/stuttgart/2014,2014,16,bundesliga
Schalke 04,SC Freiburg,2-0,/match/schalke-04/sc-freiburg/2014,2014,16,bundesliga
B. Leverkusen,Eintracht,0-1,/match/bayer-leverkusen/eintracht-frankfurt/2014,2014,16,bundesliga
Eintracht,FC Augsburg,1-1,/match/eintracht-frankfurt/fc-augsburg/2014,2014,17,bundesliga
B. Dortmund,Hertha BSC,1-2,/match/borussia-dortmund/hertha-bsc/2014,2014,17,bundesliga
Werder Bremen,B. Leverkusen,1-0,/match/werder-bremen/bayer-leverkusen/2014,2014,17,bundesliga
SC Freiburg,Hannover 96,2-1,/match/sc-freiburg/hannover-96/2014,2014,17,bundesliga
Hamburger SV,Mainz 05,2-3,/match/hamburger-sv/mainz-amat/2014,2014,17,bundesliga
Braunschweig,Hoffenheim,1-0,/match/eintracht-brau-hellip/tsg-1899-hoffenheim/2014,2014,17,bundesliga
Nürnberg,Schalke 04,0-0,/match/fc-nurnberg/schalke-04/2014,2014,17,bundesliga
Mönchengladbach,Wolfsburg,2-2,/match/borussia-monchengla/wolfsburg/2014,2014,17,bundesliga
Stuttgart,Bayern München,1-2,/match/stuttgart/bayern-munchen/2014,2014,17,bundesliga
Mönchengladbach,Bayern München,0-2,/match/borussia-monchengla/bayern-munchen/2014,2014,18,bundesliga
Stuttgart,Mainz 05,1-2,/match/stuttgart/mainz-amat/2014,2014,18,bundesliga
Wolfsburg,Hannover 96,1-3,/match/wolfsburg/hannover-96/2014,2014,18,bundesliga
Nürnberg,Hoffenheim,4-0,/match/fc-nurnberg/tsg-1899-hoffenheim/2014,2014,18,bundesliga
SC Freiburg,B. Leverkusen,3-2,/match/sc-freiburg/bayer-leverkusen/2014,2014,18,bundesliga
B. Dortmund,FC Augsburg,2-2,/match/borussia-dortmund/fc-augsburg/2014,2014,18,bundesliga
Eintracht,Hertha BSC,1-0,/match/eintracht-frankfurt/hertha-bsc/2014,2014,18,bundesliga
Werder Bremen,Braunschweig,0-0,/match/werder-bremen/eintracht-brau-hellip/2014,2014,18,bundesliga
Hamburger SV,Schalke 04,0-3,/match/hamburger-sv/schalke-04/2014,2014,18,bundesliga
Braunschweig,B. Dortmund,1-2,/match/eintracht-brau-hellip/borussia-dortmund/2014,2014,19,bundesliga
Schalke 04,Wolfsburg,2-1,/match/schalke-04/wolfsburg/2014,2014,19,bundesliga
B. Leverkusen,Stuttgart,2-1,/match/bayer-leverkusen/stuttgart/2014,2014,19,bundesliga
Hoffenheim,Hamburger SV,3-0,/match/tsg-1899-hoffenheim/hamburger-sv/2014,2014,19,bundesliga
