Home_Team,Away_Team,Result,Link,Season,Round,League
Stuttgart,1860 München,1-1,/match/stuttgart/1860-munchen/1998,1998,1,bundesliga
Schalke 04,B. Leverkusen,2-1,/match/schalke-04/bayer-leverkusen/1998,1998,1,bundesliga
Bayern München,Kaiserslautern,0-1,/match/bayern-munchen/kaiserslautern/1998,1998,1,bundesliga
Hansa Rostock,Wolfsburg,0-1,/match/hansa-rostock/wolfsburg/1998,1998,1,bundesliga
Köln,MSV Duisburg,3-2,/match/1-fc-koln/msv-duisburg/1998,1998,1,bundesliga
Karlsruher SC,Werder Bremen,3-1,/match/karlsruher-sc/werder-bremen/1998,1998,1,bundesliga
VfL Bochum,Arminia Bielefeld,1-0,/match/bochum/arminia-bielefeld/1998,1998,1,bundesliga
Hertha BSC,B. Dortmund,1-1,/match/hertha-bsc/borussia-dortmund/1998,1998,1,bundesliga
Hamburger SV,Mönchengladbach,2-2,/match/hamburger-sv/borussia-monchengla/1998,1998,1,bundesliga
MSV Duisburg,Schalke 04,1-0,/match/msv-duisburg/schalke-04/1998,1998,2,bundesliga
B. Leverkusen,VfL Bochum,3-2,/match/bayer-leverkusen/bochum/1998,1998,2,bundesliga
1860 München,Karlsruher SC,2-2,/match/1860-munchen/karlsruher-sc/1998,1998,2,bundesliga
Arminia Bielefeld,Stuttgart,2-1,/match/arminia-bielefeld/stuttgart/1998,1998,2,bundesliga
Werder Bremen,Hansa Rostock,1-1,/match/werder-bremen/hansa-rostock/1998,1998,2,bundesliga
Wolfsburg,Hamburger SV,1-1,/match/wolfsburg/hamburger-sv/1998,1998,2,bundesliga
Mönchengladbach,Bayern München,1-1,/match/borussia-monchengla/bayern-munchen/1998,1998,2,bundesliga
Kaiserslautern,Hertha BSC,1-0,/match/kaiserslautern/hertha-bsc/1998,1998,2,bundesliga
B. Dortmund,Köln,3-0,/match/borussia-dortmund/1-fc-koln/1998,1998,2,bundesliga
Stuttgart,B. Leverkusen,1-0,/match/stuttgart/bayer-leverkusen/1998,1998,3,bundesliga
VfL Bochum,MSV Duisburg,0-0,/match/bochum/msv-duisburg/1998,1998,3,bundesliga
Bayern München,Wolfsburg,5-2,/match/bayern-munchen/wolfsburg/1998,1998,3,bundesliga
Werder Bremen,1860 München,3-3,/match/werder-bremen/1860-munchen/1998,1998,3,bundesliga
Hansa Rostock,Hamburger SV,2-1,/match/hansa-rostock/hamburger-sv/1998,1998,3,bundesliga
