Home_Team,Away_Team,Result,Link,Season,Round,League
Mönchengladbach,Arminia Bielefeld,0-0,/match/borussia-monchengla/arminia-bielefeld/1997,1997,1,bundesliga
FC St. Pauli,Bayern München,1-2,/match/st-pauli/bayern-munchen/1997,1997,1,bundesliga
1860 München,Hamburger SV,2-1,/match/1860-munchen/hamburger-sv/1997,1997,1,bundesliga
Stuttgart,Schalke 04,4-0,/match/stuttgart/schalke-04/1997,1997,1,bundesliga
SC Freiburg,Werder Bremen,3-2,/match/sc-freiburg/werder-bremen/1997,1997,1,bundesliga
Hansa Rostock,Karlsruher SC,2-2,/match/hansa-rostock/karlsruher-sc/1997,1997,1,bundesliga
B. Leverkusen,B. Dortmund,4-2,/match/bayer-leverkusen/borussia-dortmund/1997,1997,1,bundesliga
VfL Bochum,MSV Duisburg,1-0,/match/bochum/msv-duisburg/1997,1997,1,bundesliga
Fortuna,Köln,0-3,/match/fortuna-dusseldorf/1-fc-koln/1997,1997,1,bundesliga
Arminia Bielefeld,FC St. Pauli,1-2,/match/arminia-bielefeld/st-pauli/1997,1997,2,bundesliga
Werder Bremen,Hansa Rostock,1-1,/match/werder-bremen/hansa-rostock/1997,1997,2,bundesliga
Hamburger SV,SC Freiburg,5-1,/match/hamburger-sv/sc-freiburg/1997,1997,2,bundesliga
Schalke 04,Mönchengladbach,0-0,/match/schalke-04/borussia-monchengla/1997,1997,2,bundesliga
MSV Duisburg,B. Leverkusen,1-3,/match/msv-duisburg/bayer-leverkusen/1997,1997,2,bundesliga
Bayern München,VfL Bochum,1-1,/match/bayern-munchen/bochum/1997,1997,2,bundesliga
B. Dortmund,Fortuna,4-0,/match/borussia-dortmund/fortuna-dusseldorf/1997,1997,2,bundesliga
Köln,1860 München,1-0,/match/1-fc-koln/1860-munchen/1997,1997,2,bundesliga
Karlsruher SC,Stuttgart,0-2,/match/karlsruher-sc/stuttgart/1997,1997,2,bundesliga
Hansa Rostock,Hamburger SV,0-1,/match/hansa-rostock/hamburger-sv/1997,1997,3,bundesliga
FC St. Pauli,Schalke 04,4-4,/match/st-pauli/schalke-04/1997,1997,3,bundesliga
VfL Bochum,Arminia Bielefeld,1-1,/match/bochum/arminia-bielefeld/1997,1997,3,bundesliga
B. Leverkusen,Fortuna,0-1,/match/bayer-leverkusen/fortuna-dusseldorf/1997,1997,3,bundesliga
Stuttgart,Werder Bremen,2-1,/match/stuttgart/werder-bremen/1997,1997,3,bundesliga
1860 München,B. Dortmund,1-3,/match/1860-munchen/borussia-dortmund/1997,1997,3,bundesliga
Mönchengladbach,Karlsruher SC,1-3,/match/borussia-monchengla/karlsruher-sc/1997,1997,3,bundesliga
SC Freiburg,Köln,1-3,/match/sc-freiburg/1-fc-koln/1997,1997,3,bundesliga
MSV Duisburg,Bayern München,0-4,/match/msv-duisburg/bayern-munchen/1997,1997,3,bundesliga
Werder Bremen,Mönchengladbach,1-0,/match/werder-bremen/borussia-monchengla/1997,1997,4,bundesliga
Hamburger SV,Stuttgart,0-4,/match/hamburger-sv/stuttgart/1997,1997,4,bundesliga
B. Dortmund,SC Freiburg,3-1,/match/borussia-dortmund/sc-freiburg/1997,1997,4,bundesliga
Schalke 04,VfL Bochum,1-1,/match/schalke-04/bochum/1997,1997,4,bundesliga
Köln,Hansa Rostock,0-2,/match/1-fc-koln/hansa-rostock/1997,1997,4,bundesliga
Fortuna,1860 München,0-0,/match/fortuna-dusseldorf/1860-munchen/1997,1997,4,bundesliga
Bayern München,B. Leverkusen,4-2,/match/bayern-munchen/bayer-leverkusen/1997,1997,4,bundesliga
Karlsruher SC,FC St. Pauli,4-0,/match/karlsruher-sc/st-pauli/1997,1997,4,bundesliga
Arminia Bielefeld,MSV Duisburg,1-1,/match/arminia-bielefeld/msv-duisburg/1997,1997,4,bundesliga
SC Freiburg,Fortuna,1-2,/match/sc-freiburg/fortuna-dusseldorf/1997,1997,5,bundesliga
