,Home_Team,Away_Team,Result,Date,Link,Year,Round,League
51,Penafiel,Desportivo Aves,4-0,Sun 05 Oct ,/match/penafiel/desportivo-aves/1998,1998,6,segunda_liga
52,Moreirense,Estoril,1-1,Sun 05 Oct ,/match/moreirense-fc/estoril/1998,1998,6,segunda_liga
53,União de Leiria,Academico Viseu,1-0,Sun 05 Oct ,/match/uniao-leiria/academico-viseu/1998,1998,6,segunda_liga
54,Academico Viseu,Espinho,1-2,Sun 19 Oct ,/match/academico-viseu/espinho/1998,1998,7,segunda_liga
55,Torreense,Penafiel,1-0,Sun 19 Oct ,/match/torreense/penafiel/1998,1998,7,segunda_liga
56,União Madeira,Moreirense,0-3,Sun 19 Oct ,/match/uniao-madeira/moreirense-fc/1998,1998,7,segunda_liga
57,Desportivo Aves,FC Felgueiras,2-1,Sun 19 Oct ,/match/desportivo-aves/fc-felgueiras/1998,1998,7,segunda_liga
58,FC Maia,Feirense,2-3,Sun 19 Oct ,/match/fc-maia/feirense/1998,1998,7,segunda_liga
59,Estoril,Uniao Lamas,4-2,Sun 19 Oct ,/match/estoril/uniao-lamas/1998,1998,7,segunda_liga
60,Paços Ferreira,Gil Vicente,0-0,Sun 19 Oct ,/match/pacos-ferreira/gil-vicente/1998,1998,7,segunda_liga
61,Alverca,Nacional,3-0,Sun 19 Oct ,/match/alverca/nacional/1998,1998,7,segunda_liga
62,Beira Mar SC,União de Leiria,2-1,Sun 19 Oct ,/match/beira-mar/uniao-leiria/1998,1998,7,segunda_liga
63,Nacional,Estoril,0-1,Sat 01 Nov ,/match/nacional/estoril/1998,1998,8,segunda_liga
64,Gil Vicente,FC Maia,2-0,Sun 02 Nov ,/match/gil-vicente/fc-maia/1998,1998,8,segunda_liga
65,Uniao Lamas,União Madeira,2-2,Sun 02 Nov ,/match/uniao-lamas/uniao-madeira/1998,1998,8,segunda_liga
66,Espinho,Beira Mar SC,1-2,Sun 02 Nov ,/match/espinho/beira-mar/1998,1998,8,segunda_liga
67,FC Felgueiras,Torreense,7-0,Sun 02 Nov ,/match/fc-felgueiras/torreense/1998,1998,8,segunda_liga
68,Feirense,Desportivo Aves,1-0,Sun 02 Nov ,/match/feirense/desportivo-aves/1998,1998,8,segunda_liga
69,Penafiel,Academico Viseu,3-2,Sun 02 Nov ,/match/penafiel/academico-viseu/1998,1998,8,segunda_liga
70,Moreirense,Paços Ferreira,2-1,Sun 02 Nov ,/match/moreirense-fc/pacos-ferreira/1998,1998,8,segunda_liga
71,União de Leiria,Alverca,1-3,Sun 02 Nov ,/match/uniao-leiria/alverca/1998,1998,8,segunda_liga
72,Academico Viseu,FC Felgueiras,1-0,Sun 09 Nov ,/match/academico-viseu/fc-felgueiras/1998,1998,9,segunda_liga
73,Torreense,Feirense,0-0,Sun 09 Nov ,/match/torreense/feirense/1998,1998,9,segunda_liga
74,União Madeira,Nacional,1-0,Sun 09 Nov ,/match/uniao-madeira/nacional/1998,1998,9,segunda_liga
75,Desportivo Aves,Gil Vicente,1-1,Sun 09 Nov ,/match/desportivo-aves/gil-vicente/1998,1998,9,segunda_liga
76,Estoril,União de Leiria,1-3,Sun 09 Nov ,/match/estoril/uniao-leiria/1998,1998,9,segunda_liga
77,Paços Ferreira,FC Maia,0-3,Sun 09 Nov ,/match/pacos-ferreira/fc-maia/1998,1998,9,segunda_liga
78,Alverca,Espinho,1-0,Sun 09 Nov ,/match/alverca/espinho/1998,1998,9,segunda_liga
79,Beira Mar SC,Penafiel,0-0,Sun 09 Nov ,/match/beira-mar/penafiel/1998,1998,9,segunda_liga
80,Moreirense,Uniao Lamas,4-0,Sun 09 Nov ,/match/moreirense-fc/uniao-lamas/1998,1998,9,segunda_liga
81,Nacional,Moreirense,1-3,Sat 22 Nov ,/match/nacional/moreirense-fc/1998,1998,10,segunda_liga
82,Gil Vicente,Torreense,4-2,Sun 23 Nov ,/match/gil-vicente/torreense/1998,1998,10,segunda_liga
83,Uniao Lamas,Paços Ferreira,3-1,Sun 23 Nov ,/match/uniao-lamas/pacos-ferreira/1998,1998,10,segunda_liga
84,Espinho,Estoril,0-0,Sun 23 Nov ,/match/espinho/estoril/1998,1998,10,segunda_liga
85,FC Felgueiras,Beira Mar SC,1-0,Sun 23 Nov ,/match/fc-felgueiras/beira-mar/1998,1998,10,segunda_liga
86,Feirense,Academico Viseu,0-0,Sun 23 Nov ,/match/feirense/academico-viseu/1998,1998,10,segunda_liga
87,FC Maia,Desportivo Aves,4-3,Sun 23 Nov ,/match/fc-maia/desportivo-aves/1998,1998,10,segunda_liga
88,Penafiel,Alverca,1-0,Sun 23 Nov ,/match/penafiel/alverca/1998,1998,10,segunda_liga
89,União de Leiria,União Madeira,5-0,Sun 23 Nov ,/match/uniao-leiria/uniao-madeira/1998,1998,10,segunda_liga
90,União Madeira,Espinho,1-0,Sat 29 Nov ,/match/uniao-madeira/espinho/1998,1998,11,segunda_liga
91,Uniao Lamas,Nacional,1-1,Sun 30 Nov ,/match/uniao-lamas/nacional/1998,1998,11,segunda_liga
92,Academico Viseu,Gil Vicente,1-1,Sun 30 Nov ,/match/academico-viseu/gil-vicente/1998,1998,11,segunda_liga
93,Torreense,FC Maia,2-1,Sun 30 Nov ,/match/torreense/fc-maia/1998,1998,11,segunda_liga
94,Estoril,Penafiel,1-2,Sun 30 Nov ,/match/estoril/penafiel/1998,1998,11,segunda_liga
95,Paços Ferreira,Desportivo Aves,0-2,Sun 30 Nov ,/match/pacos-ferreira/desportivo-aves/1998,1998,11,segunda_liga
96,Beira Mar SC,Feirense,1-0,Sun 30 Nov ,/match/beira-mar/feirense/1998,1998,11,segunda_liga
97,Moreirense,União de Leiria,0-1,Sun 30 Nov ,/match/moreirense-fc/uniao-leiria/1998,1998,11,segunda_liga
98,Alverca,FC Felgueiras,3-0,Mon 01 Dec ,/match/alverca/fc-felgueiras/1998,1998,11,segunda_liga
99,Nacional,Paços Ferreira,0-0,Sat 06 Dec ,/match/nacional/pacos-ferreira/1998,1998,12,segunda_liga
100,Gil Vicente,Beira Mar SC,1-1,Sun 07 Dec ,/match/gil-vicente/beira-mar/1998,1998,12,segunda_liga
101,Espinho,Moreirense,3-1,Sun 07 Dec ,/match/espinho/moreirense-fc/1998,1998,12,segunda_liga
102,FC Felgueiras,Estoril,1-0,Sun 07 Dec ,/match/fc-felgueiras/estoril/1998,1998,12,segunda_liga
103,Feirense,Alverca,1-0,Sun 07 Dec ,/match/feirense/alverca/1998,1998,12,segunda_liga
104,Desportivo Aves,Torreense,1-0,Sun 07 Dec ,/match/desportivo-aves/torreense/1998,1998,12,segunda_liga
105,FC Maia,Academico Viseu,3-1,Sun 07 Dec ,/match/fc-maia/academico-viseu/1998,1998,12,segunda_liga
106,Penafiel,União Madeira,2-2,Sun 07 Dec ,/match/penafiel/uniao-madeira/1998,1998,12,segunda_liga
107,União de Leiria,Uniao Lamas,1-1,Sun 07 Dec ,/match/uniao-leiria/uniao-lamas/1998,1998,12,segunda_liga
108,Uniao Lamas,Espinho,2-2,Sat 13 Dec ,/match/uniao-lamas/espinho/1998,1998,13,segunda_liga
109,Academico Viseu,Desportivo Aves,2-3,Sat 13 Dec ,/match/academico-viseu/desportivo-aves/1998,1998,13,segunda_liga
110,União Madeira,FC Felgueiras,3-1,Sat 13 Dec ,/match/uniao-madeira/fc-felgueiras/1998,1998,13,segunda_liga
111,Estoril,Feirense,0-2,Sat 13 Dec ,/match/estoril/feirense/1998,1998,13,segunda_liga
112,Paços Ferreira,Torreense,2-0,Sat 13 Dec ,/match/pacos-ferreira/torreense/1998,1998,13,segunda_liga
113,Alverca,Gil Vicente,2-1,Sat 13 Dec ,/match/alverca/gil-vicente/1998,1998,13,segunda_liga
114,Beira Mar SC,FC Maia,1-0,Sat 13 Dec ,/match/beira-mar/fc-maia/1998,1998,13,segunda_liga
115,Moreirense,Penafiel,2-2,Sat 13 Dec ,/match/moreirense-fc/penafiel/1998,1998,13,segunda_liga
116,Nacional,União de Leiria,3-4,Sat 13 Dec ,/match/nacional/uniao-leiria/1998,1998,13,segunda_liga
117,Gil Vicente,Estoril,2-0,Sun 21 Dec ,/match/gil-vicente/estoril/1998,1998,14,segunda_liga
118,Torreense,Academico Viseu,1-1,Sun 21 Dec ,/match/torreense/academico-viseu/1998,1998,14,segunda_liga
119,Espinho,Nacional,1-1,Sun 21 Dec ,/match/espinho/nacional/1998,1998,14,segunda_liga
120,FC Felgueiras,Moreirense,2-1,Sun 21 Dec ,/match/fc-felgueiras/moreirense-fc/1998,1998,14,segunda_liga
121,Feirense,União Madeira,2-1,Sun 21 Dec ,/match/feirense/uniao-madeira/1998,1998,14,segunda_liga
122,Desportivo Aves,Beira Mar SC,1-3,Sun 21 Dec ,/match/desportivo-aves/beira-mar/1998,1998,14,segunda_liga
123,FC Maia,Alverca,2-1,Sun 21 Dec ,/match/fc-maia/alverca/1998,1998,14,segunda_liga
124,Penafiel,Uniao Lamas,4-1,Sun 21 Dec ,/match/penafiel/uniao-lamas/1998,1998,14,segunda_liga
125,União de Leiria,Paços Ferreira,0-0,Sun 21 Dec ,/match/uniao-leiria/pacos-ferreira/1998,1998,14,segunda_liga
126,Nacional,Penafiel,1-2,Sat 03 Jan ,/match/nacional/penafiel/1998,1998,15,segunda_liga
127,Uniao Lamas,FC Felgueiras,0-0,Sun 04 Jan ,/match/uniao-lamas/fc-felgueiras/1998,1998,15,segunda_liga
128,União Madeira,Gil Vicente,0-0,Sun 04 Jan ,/match/uniao-madeira/gil-vicente/1998,1998,15,segunda_liga
129,Estoril,FC Maia,2-1,Sun 04 Jan ,/match/estoril/fc-maia/1998,1998,15,segunda_liga
130,Paços Ferreira,Academico Viseu,0-0,Sun 04 Jan ,/match/pacos-ferreira/academico-viseu/1998,1998,15,segunda_liga
131,Alverca,Desportivo Aves,3-0,Sun 04 Jan ,/match/alverca/desportivo-aves/1998,1998,15,segunda_liga
132,Beira Mar SC,Torreense,2-2,Sun 04 Jan ,/match/beira-mar/torreense/1998,1998,15,segunda_liga
133,Moreirense,Feirense,2-4,Sun 04 Jan ,/match/moreirense-fc/feirense/1998,1998,15,segunda_liga
134,União de Leiria,Espinho,1-0,Sun 04 Jan ,/match/uniao-leiria/espinho/1998,1998,15,segunda_liga
135,Gil Vicente,Moreirense,0-0,Sun 11 Jan ,/match/gil-vicente/moreirense-fc/1998,1998,16,segunda_liga
