,Home_Team,Away_Team,Result,Date,Link,Year,Round,League
57,Hellas Verona,Lecce,0-0,Sun 01 Oct ,/match/hellas-verona-fc/lecce/1990,1990,7,serie_a
58,Lazio,Juventus,01-Jan,Sun 01 Oct ,/match/lazio/juventus-fc/1990,1990,7,serie_a
59,Bologna,Cremonese,01-Jan,Sun 01 Oct ,/match/bologna/us-cremonese/1990,1990,7,serie_a
60,Inter,Roma,3-0,Sun 01 Oct ,/match/internazionale/roma/1990,1990,7,serie_a
61,Napoli,Milan,3-0,Sun 01 Oct ,/match/napoli/milan/1990,1990,7,serie_a
62,Atalanta,Cesena,1-0,Sun 01 Oct ,/match/atalanta/ac-cesena/1990,1990,7,serie_a
63,Lecce,Fiorentina,1-0,Sun 08 Oct ,/match/lecce/fiorentina/1990,1990,8,serie_a
64,Udinese,Genoa,02-Apr,Sun 08 Oct ,/match/udinese/genoa/1990,1990,8,serie_a
65,Cremonese,Milan,1-0,Sun 08 Oct ,/match/us-cremonese/milan/1990,1990,8,serie_a
66,Ascoli,Bologna,01-Jan,Sun 08 Oct ,/match/ascoli/bologna/1990,1990,8,serie_a
67,Cesena,Lazio,0-0,Sun 08 Oct ,/match/ac-cesena/lazio/1990,1990,8,serie_a
68,Roma,Napoli,01-Jan,Sun 08 Oct ,/match/roma/napoli/1990,1990,8,serie_a
69,Juventus,Atalanta,0-1,Sun 08 Oct ,/match/juventus-fc/atalanta/1990,1990,8,serie_a
70,Inter,SSC Bari,01-Jan,Sun 08 Oct ,/match/internazionale/as-bari/1990,1990,8,serie_a
71,Sampdoria,Hellas Verona,1-0,Sun 08 Oct ,/match/sampdoria/hellas-verona-fc/1990,1990,8,serie_a
72,Cesena,Udinese,01-Jan,Sun 22 Oct ,/match/ac-cesena/udinese/1990,1990,9,serie_a
73,Lecce,SSC Bari,01-Jan,Sun 22 Oct ,/match/lecce/as-bari/1990,1990,9,serie_a
74,Hellas Verona,Cremonese,01-Jan,Sun 22 Oct ,/match/hellas-verona-fc/us-cremonese/1990,1990,9,serie_a
75,Fiorentina,Sampdoria,03-Jan,Sun 22 Oct ,/match/fiorentina/sampdoria/1990,1990,9,serie_a
76,Milan,Roma,1-0,Sun 22 Oct ,/match/milan/roma/1990,1990,9,serie_a
77,Genoa,Juventus,02-Mar,Sun 22 Oct ,/match/genoa/juventus-fc/1990,1990,9,serie_a
78,Atalanta,Ascoli,1-0,Sun 22 Oct ,/match/atalanta/ascoli/1990,1990,9,serie_a
79,Napoli,Inter,2-0,Sun 22 Oct ,/match/napoli/internazionale/1990,1990,9,serie_a
80,Lazio,Bologna,3-0,Sun 22 Oct ,/match/lazio/bologna/1990,1990,9,serie_a
81,Genoa,Napoli,01-Jan,Sun 29 Oct ,/match/genoa/napoli/1990,1990,10,serie_a
82,Udinese,Hellas Verona,02-Jan,Sun 29 Oct ,/match/udinese/hellas-verona-fc/1990,1990,10,serie_a
83,Cremonese,Fiorentina,01-Feb,Sun 29 Oct ,/match/us-cremonese/fiorentina/1990,1990,10,serie_a
84,Ascoli,Milan,1-0,Sun 29 Oct ,/match/ascoli/milan/1990,1990,10,serie_a
85,SSC Bari,Cesena,2-0,Sun 29 Oct ,/match/as-bari/ac-cesena/1990,1990,10,serie_a
86,Bologna,Atalanta,0-0,Sun 29 Oct ,/match/bologna/atalanta/1990,1990,10,serie_a
87,Juventus,Sampdoria,1-0,Sun 29 Oct ,/match/juventus-fc/sampdoria/1990,1990,10,serie_a
88,Inter,Lazio,3-0,Sun 29 Oct ,/match/internazionale/lazio/1990,1990,10,serie_a
89,Roma,Lecce,02-Jan,Sun 29 Oct ,/match/roma/lecce/1990,1990,10,serie_a
90,Fiorentina,Bologna,0-1,Sun 05 Nov ,/match/fiorentina/bologna/1990,1990,11,serie_a
91,Cesena,Ascoli,1-0,Sun 05 Nov ,/match/ac-cesena/ascoli/1990,1990,11,serie_a
92,Hellas Verona,Inter,0-3,Sun 05 Nov ,/match/hellas-verona-fc/internazionale/1990,1990,11,serie_a
93,Cremonese,Udinese,02-Feb,Sun 05 Nov ,/match/us-cremonese/udinese/1990,1990,11,serie_a
94,SSC Bari,Genoa,0-0,Sun 05 Nov ,/match/as-bari/genoa/1990,1990,11,serie_a
95,Lazio,Atalanta,01-Feb,Sun 05 Nov ,/match/lazio/atalanta/1990,1990,11,serie_a
96,Milan,Juventus,03-Feb,Sun 05 Nov ,/match/milan/juventus-fc/1990,1990,11,serie_a
97,Napoli,Lecce,03-Feb,Sun 05 Nov ,/match/napoli/lecce/1990,1990,11,serie_a
98,Sampdoria,Roma,04-Feb,Sun 05 Nov ,/match/sampdoria/roma/1990,1990,11,serie_a
99,Genoa,Cesena,02-Mar,Sun 19 Nov ,/match/genoa/ac-cesena/1990,1990,12,serie_a
100,Fiorentina,Ascoli,05-Jan,Sun 19 Nov ,/match/fiorentina/ascoli/1990,1990,12,serie_a
101,Lecce,Cremonese,02-Jan,Sun 19 Nov ,/match/lecce/us-cremonese/1990,1990,12,serie_a
102,Udinese,Juventus,02-Feb,Sun 19 Nov ,/match/udinese/juventus-fc/1990,1990,12,serie_a
103,Bologna,Hellas Verona,1-0,Sun 19 Nov ,/match/bologna/hellas-verona-fc/1990,1990,12,serie_a
104,Atalanta,SSC Bari,0-0,Sun 19 Nov ,/match/atalanta/as-bari/1990,1990,12,serie_a
105,Inter,Milan,0-3,Sun 19 Nov ,/match/internazionale/milan/1990,1990,12,serie_a
106,Napoli,Sampdoria,01-Jan,Sun 19 Nov ,/match/napoli/sampdoria/1990,1990,12,serie_a
107,Roma,Lazio,01-Jan,Sun 19 Nov ,/match/roma/lazio/1990,1990,12,serie_a
108,SSC Bari,Udinese,03-Jan,Sun 26 Nov ,/match/as-bari/udinese/1990,1990,13,serie_a
109,Cesena,Fiorentina,01-Jan,Sun 26 Nov ,/match/ac-cesena/fiorentina/1990,1990,13,serie_a
110,Hellas Verona,Roma,02-Feb,Sun 26 Nov ,/match/hellas-verona-fc/roma/1990,1990,13,serie_a
111,Ascoli,Cremonese,0-1,Sun 26 Nov ,/match/ascoli/us-cremonese/1990,1990,13,serie_a
112,Lazio,Genoa,0-0,Sun 26 Nov ,/match/lazio/genoa/1990,1990,13,serie_a
113,Atalanta,Inter,02-Jan,Sun 26 Nov ,/match/atalanta/internazionale/1990,1990,13,serie_a
114,Juventus,Napoli,01-Jan,Sun 26 Nov ,/match/juventus-fc/napoli/1990,1990,13,serie_a
115,Milan,Lecce,2-0,Sun 26 Nov ,/match/milan/lecce/1990,1990,13,serie_a
116,Sampdoria,Bologna,3-0,Sun 26 Nov ,/match/sampdoria/bologna/1990,1990,13,serie_a
117,Cesena,Inter,02-Mar,Sun 03 Dec ,/match/ac-cesena/internazionale/1990,1990,14,serie_a
118,Lecce,Sampdoria,0-0,Sun 03 Dec ,/match/lecce/sampdoria/1990,1990,14,serie_a
119,Udinese,Ascoli,2-0,Sun 03 Dec ,/match/udinese/ascoli/1990,1990,14,serie_a
120,Cremonese,Juventus,02-Feb,Sun 03 Dec ,/match/us-cremonese/juventus-fc/1990,1990,14,serie_a
121,Fiorentina,Roma,01-Feb,Sun 03 Dec ,/match/fiorentina/roma/1990,1990,14,serie_a
122,Genoa,Hellas Verona,0-1,Sun 03 Dec ,/match/genoa/hellas-verona-fc/1990,1990,14,serie_a
123,Milan,Bologna,1-0,Sun 03 Dec ,/match/milan/bologna/1990,1990,14,serie_a
124,Napoli,Atalanta,03-Jan,Sun 03 Dec ,/match/napoli/atalanta/1990,1990,14,serie_a
125,Lazio,SSC Bari,02-Feb,Sun 03 Dec ,/match/lazio/as-bari/1990,1990,14,serie_a
126,Bologna,Lecce,02-Jan,Sun 10 Dec ,/match/bologna/lecce/1990,1990,15,serie_a
127,SSC Bari,Napoli,01-Jan,Sun 10 Dec ,/match/as-bari/napoli/1990,1990,15,serie_a
128,Hellas Verona,Fiorentina,1-0,Sun 10 Dec ,/match/hellas-verona-fc/fiorentina/1990,1990,15,serie_a
129,Ascoli,Lazio,0-0,Sun 10 Dec ,/match/ascoli/lazio/1990,1990,15,serie_a
130,Atalanta,Udinese,1-0,Sun 10 Dec ,/match/atalanta/udinese/1990,1990,15,serie_a
131,Roma,Cremonese,03-Feb,Sun 10 Dec ,/match/roma/us-cremonese/1990,1990,15,serie_a
132,Juventus,Cesena,01-Jan,Sun 10 Dec ,/match/juventus-fc/ac-cesena/1990,1990,15,serie_a
133,Inter,Genoa,1-0,Sun 10 Dec ,/match/internazionale/genoa/1990,1990,15,serie_a
134,Sampdoria,Milan,01-Jan,Sun 10 Dec ,/match/sampdoria/milan/1990,1990,15,serie_a
135,Cesena,Sampdoria,01-Feb,Sun 17 Dec ,/match/ac-cesena/sampdoria/1990,1990,16,serie_a
136,Lecce,Ascoli,01-Jan,Sun 17 Dec ,/match/lecce/ascoli/1990,1990,16,serie_a
137,Udinese,Lazio,0-2,Sun 17 Dec ,/match/udinese/lazio/1990,1990,16,serie_a
138,Cremonese,SSC Bari,0-2,Sun 17 Dec ,/match/us-cremonese/as-bari/1990,1990,16,serie_a
139,Fiorentina,Inter,02-Feb,Sun 17 Dec ,/match/fiorentina/internazionale/1990,1990,16,serie_a
140,Genoa,Atalanta,02-Feb,Sun 17 Dec ,/match/genoa/atalanta/1990,1990,16,serie_a
141,Milan,Hellas Verona,0-0,Sun 17 Dec ,/match/milan/hellas-verona-fc/1990,1990,16,serie_a
142,Napoli,Bologna,2-0,Sun 17 Dec ,/match/napoli/bologna/1990,1990,16,serie_a
143,Roma,Juventus,1-0,Sun 17 Dec ,/match/roma/juventus-fc/1990,1990,16,serie_a
144,Lazio,Napoli,3-0,Sat 30 Dec ,/match/lazio/napoli/1990,1990,17,serie_a
145,SSC Bari,Milan,0-1,Sat 30 Dec ,/match/as-bari/milan/1990,1990,17,serie_a
146,Hellas Verona,Cesena,0-2,Sat 30 Dec ,/match/hellas-verona-fc/ac-cesena/1990,1990,17,serie_a
147,Bologna,Roma,01-Jan,Sat 30 Dec ,/match/bologna/roma/1990,1990,17,serie_a
148,Ascoli,Genoa,0-0,Sat 30 Dec ,/match/ascoli/genoa/1990,1990,17,serie_a
149,Atalanta,Fiorentina,0-0,Sat 30 Dec ,/match/atalanta/fiorentina/1990,1990,17,serie_a
150,Juventus,Lecce,3-0,Sat 30 Dec ,/match/juventus-fc/lecce/1990,1990,17,serie_a
151,Inter,Udinese,2-0,Sat 30 Dec ,/match/internazionale/udinese/1990,1990,17,serie_a
152,Sampdoria,Cremonese,01-Jan,Sat 30 Dec ,/match/sampdoria/us-cremonese/1990,1990,17,serie_a
153,Lecce,Genoa,02-Jan,Sun 07 Jan ,/match/lecce/genoa/1990,1990,18,serie_a
154,Hellas Verona,Atalanta,01-Jan,Sun 07 Jan ,/match/hellas-verona-fc/atalanta/1990,1990,18,serie_a
155,Cremonese,Inter,0-1,Sun 07 Jan ,/match/us-cremonese/internazionale/1990,1990,18,serie_a
156,Fiorentina,SSC Bari,02-Feb,Sun 07 Jan ,/match/fiorentina/as-bari/1990,1990,18,serie_a
157,Bologna,Juventus,01-Jan,Sun 07 Jan ,/match/bologna/juventus-fc/1990,1990,18,serie_a
158,Napoli,Ascoli,1-0,Sun 07 Jan ,/match/napoli/ascoli/1990,1990,18,serie_a
159,Sampdoria,Lazio,2-0,Sun 07 Jan ,/match/sampdoria/lazio/1990,1990,18,serie_a
160,Milan,Cesena,3-0,Sun 07 Jan ,/match/milan/ac-cesena/1990,1990,18,serie_a
161,Roma,Udinese,03-Jan,Sun 07 Jan ,/match/roma/udinese/1990,1990,18,serie_a
162,Cesena,Cremonese,01-Jan,Sun 14 Jan ,/match/ac-cesena/us-cremonese/1990,1990,19,serie_a
163,Udinese,Napoli,02-Feb,Sun 14 Jan ,/match/udinese/napoli/1990,1990,19,serie_a
164,Ascoli,Roma,01-Jan,Sun 14 Jan ,/match/ascoli/roma/1990,1990,19,serie_a
165,Genoa,Fiorentina,01-Jan,Sun 14 Jan ,/match/genoa/fiorentina/1990,1990,19,serie_a
166,SSC Bari,Sampdoria,0-2,Sun 14 Jan ,/match/as-bari/sampdoria/1990,1990,19,serie_a
167,Inter,Bologna,3-0,Sun 14 Jan ,/match/internazionale/bologna/1990,1990,19,serie_a
168,Atalanta,Lecce,02-Jan,Sun 14 Jan ,/match/atalanta/lecce/1990,1990,19,serie_a
169,Juventus,Hellas Verona,02-Jan,Sun 14 Jan ,/match/juventus-fc/hellas-verona-fc/1990,1990,19,serie_a
170,Lazio,Milan,01-Mar,Sun 14 Jan ,/match/lazio/milan/1990,1990,19,serie_a
171,Lecce,Inter,0-0,Wed 17 Jan ,/match/lecce/internazionale/1990,1990,20,serie_a
172,Hellas Verona,SSC Bari,01-Jan,Wed 17 Jan ,/match/hellas-verona-fc/as-bari/1990,1990,20,serie_a
173,Cremonese,Lazio,02-Jan,Wed 17 Jan ,/match/us-cremonese/lazio/1990,1990,20,serie_a
174,Fiorentina,Juventus,02-Feb,Wed 17 Jan ,/match/fiorentina/juventus-fc/1990,1990,20,serie_a
175,Bologna,Udinese,0-0,Wed 17 Jan ,/match/bologna/udinese/1990,1990,20,serie_a
176,Napoli,Cesena,1-0,Wed 17 Jan ,/match/napoli/ac-cesena/1990,1990,20,serie_a
177,Sampdoria,Ascoli,2-0,Wed 17 Jan ,/match/sampdoria/ascoli/1990,1990,20,serie_a
178,Milan,Atalanta,03-Jan,Wed 17 Jan ,/match/milan/atalanta/1990,1990,20,serie_a
179,Roma,Genoa,0-1,Wed 17 Jan ,/match/roma/genoa/1990,1990,20,serie_a
180,Genoa,Cremonese,1-0,Sun 21 Jan ,/match/genoa/us-cremonese/1990,1990,21,serie_a
181,Cesena,Lecce,4-0,Sun 21 Jan ,/match/ac-cesena/lecce/1990,1990,21,serie_a
182,Udinese,Milan,0-2,Sun 21 Jan ,/match/udinese/milan/1990,1990,21,serie_a
183,SSC Bari,Bologna,0-0,Sun 21 Jan ,/match/as-bari/bologna/1990,1990,21,serie_a
184,Ascoli,Juventus,01-Feb,Sun 21 Jan ,/match/ascoli/juventus-fc/1990,1990,21,serie_a
185,Lazio,Fiorentina,01-Jan,Sun 21 Jan ,/match/lazio/fiorentina/1990,1990,21,serie_a
186,Inter,Sampdoria,2-0,Sun 21 Jan ,/match/internazionale/sampdoria/1990,1990,21,serie_a
187,Napoli,Hellas Verona,2-0,Sun 21 Jan ,/match/napoli/hellas-verona-fc/1990,1990,21,serie_a
188,Atalanta,Roma,3-0,Sun 21 Jan ,/match/atalanta/roma/1990,1990,21,serie_a
189,Lecce,Lazio,0-0,Sun 28 Jan ,/match/lecce/lazio/1990,1990,22,serie_a
190,Hellas Verona,Ascoli,0-0,Sun 28 Jan ,/match/hellas-verona-fc/ascoli/1990,1990,22,serie_a
191,Cremonese,Atalanta,01-Jan,Sun 28 Jan ,/match/us-cremonese/atalanta/1990,1990,22,serie_a
