Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away
Vitesse,Groningen,0-4,/match/vitesse/fc-groningen/2009,2009,1,eredivisie,18,34,2,0,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Utrecht,PSV,1-5,/match/fc-utrecht/psv/2009,2009,1,eredivisie,18,34,2,1,5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Willem II,Ajax,2-1,/match/willem-ii/ajax/2009,2009,1,eredivisie,18,34,0,2,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Roda JC,Twente 1965,1-1,/match/roda-jc/fc-twente-1965/2009,2009,1,eredivisie,18,34,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
NEC Nijmegen,De Graafschap,2-0,/match/nec/graafschap/2009,2009,1,eredivisie,18,34,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Heracles,Feyenoord,3-1,/match/heracles/feyenoord/2009,2009,1,eredivisie,18,34,0,3,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
FC Volendam,Heerenveen,2-3,/match/fc-volendam/heerenveen/2009,2009,1,eredivisie,18,34,2,2,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Sparta Rotterdam,ADO Den Haag,2-5,/match/sparta-rotterdam/ado-den-haag/2009,2009,1,eredivisie,18,34,2,2,5,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
AZ Alkmaar,NAC Breda,1-2,/match/az/nac-breda/2009,2009,1,eredivisie,18,34,2,1,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,
Heerenveen,Heracles,2-2,/match/heerenveen/heracles/2009,2009,2,eredivisie,18,34,1,2,2,6,1,0,0,3,2,L,0,0,0,0,0,3,1,0,0,3,1,W,0,0,0,0,0,,
PSV,Sparta Rotterdam,1-0,/match/psv/sparta-rotterdam/2009,2009,2,eredivisie,18,34,0,1,0,5,1,0,0,5,1,L,0,0,0,0,0,16,0,0,1,2,5,L,0,0,0,0,0,,
Twente 1965,NEC Nijmegen,1-1,/match/fc-twente-1965/nec/2009,2009,2,eredivisie,18,34,1,1,1,10,0,1,0,1,1,D,0,0,0,0,0,1,1,0,0,2,0,W,0,0,0,0,0,,
ADO Den Haag,AZ Alkmaar,3-0,/match/ado-den-haag/az/2009,2009,2,eredivisie,18,34,0,3,0,9,1,0,0,5,2,L,0,0,0,0,0,15,0,0,1,1,2,L,0,0,0,0,0,,
Feyenoord,FC Volendam,5-0,/match/feyenoord/fc-volendam/2009,2009,2,eredivisie,18,34,0,5,0,18,0,0,1,1,3,W,0,0,0,0,0,14,0,0,1,2,3,L,0,0,0,0,0,,
De Graafschap,Vitesse,1-0,/match/graafschap/vitesse/2009,2009,2,eredivisie,18,34,0,1,0,11,0,0,1,0,2,W,0,0,0,0,0,17,0,0,1,0,4,L,0,0,0,0,0,,
Groningen,Utrecht,2-0,/match/fc-groningen/fc-utrecht/2009,2009,2,eredivisie,18,34,0,2,0,7,1,0,0,4,0,L,0,0,0,0,0,13,0,0,1,1,5,L,0,0,0,0,0,,
NAC Breda,Willem II,1-3,/match/nac-breda/willem-ii/2009,2009,2,eredivisie,18,34,2,1,3,4,1,0,0,2,1,L,0,0,0,0,0,2,1,0,0,2,1,W,0,0,0,0,0,,
Ajax,Roda JC,1-0,/match/ajax/roda-jc/2009,2009,2,eredivisie,18,34,0,1,0,12,0,0,1,1,2,W,0,0,0,0,0,8,0,1,0,1,1,D,0,0,0,0,0,,
Utrecht,Willem II,1-0,/match/fc-utrecht/willem-ii/2009,2009,3,eredivisie,18,34,0,1,0,14,0,0,2,1,7,LW,0,0,1,1,5,4,2,0,0,5,2,WL,1,0,0,3,1,L,L
Vitesse,Sparta Rotterdam,1-1,/match/vitesse/sparta-rotterdam/2009,2009,3,eredivisie,18,34,1,1,1,18,0,0,2,0,5,LW,0,0,1,0,4,17,0,0,2,2,6,LW,0,0,1,0,1,L,W
Heracles,Groningen,1-1,/match/heracles/fc-groningen/2009,2009,3,eredivisie,18,34,1,1,1,6,1,1,0,5,3,WD,1,0,0,3,1,3,2,0,0,6,0,LW,1,0,0,4,0,W,L
AZ Alkmaar,PSV,1-0,/match/az/psv/2009,2009,3,eredivisie,18,34,0,1,0,16,0,0,2,1,5,LW,0,0,1,1,2,2,2,0,0,6,1,LW,1,0,0,5,1,L,L
Feyenoord,Ajax,2-2,/match/feyenoord/ajax/2009,2009,3,eredivisie,18,34,1,2,2,9,1,0,1,6,3,WW,1,0,0,5,0,7,1,0,1,2,2,WW,0,0,1,1,2,W,W
De Graafschap,ADO Den Haag,2-0,/match/graafschap/ado-den-haag/2009,2009,3,eredivisie,18,34,0,2,0,8,1,0,1,1,2,WW,1,0,0,1,0,1,2,0,0,8,2,LW,1,0,0,5,2,W,L
Heerenveen,NEC Nijmegen,2-1,/match/heerenveen/nec/2009,2009,3,eredivisie,18,34,0,2,1,10,1,1,0,5,4,LD,0,1,0,2,2,5,1,1,0,3,1,WD,0,1,0,1,1,D,D
FC Volendam,Twente 1965,1-2,/match/fc-volendam/fc-twente-1965/2009,2009,3,eredivisie,18,34,2,1,2,15,0,0,2,2,8,LW,0,0,1,2,3,11,0,2,0,2,2,DD,0,1,0,1,1,L,D
Roda JC,NAC Breda,0-3,/match/roda-jc/nac-breda/2009,2009,3,eredivisie,18,34,2,0,3,12,0,1,1,1,2,DW,0,1,0,1,1,13,1,0,1,3,4,LL,1,0,0,2,1,D,L
NAC Breda,Heerenveen,4-2,/match/nac-breda/heerenveen/2009,2009,4,eredivisie,18,34,0,4,2,12,2,0,1,6,4,LLL,0,0,1,1,3,1,2,1,0,7,5,LDW,1,0,0,3,2,L,L
Twente 1965,De Graafschap,3-0,/match/fc-twente-1965/graafschap/2009,2009,4,eredivisie,18,34,0,3,0,11,1,2,0,4,3,DDL,0,1,0,1,1,2,2,0,1,3,2,WWW,0,0,1,0,2,D,W
PSV,FC Volendam,1-0,/match/psv/fc-volendam/2009,2009,4,eredivisie,18,34,0,1,0,5,2,0,1,6,2,LWW,1,0,0,1,0,18,0,0,3,3,10,LWL,0,0,1,0,5,W,W
Willem II,AZ Alkmaar,2-5,/match/willem-ii/az/2009,2009,4,eredivisie,18,34,2,2,5,8,2,0,1,5,3,WLW,1,0,0,2,1,14,1,0,2,2,5,LWW,0,0,1,0,3,W,W
ADO Den Haag,Utrecht,0-0,/match/ado-den-haag/fc-utrecht/2009,2009,4,eredivisie,18,34,1,0,0,7,2,0,1,8,4,LWW,1,0,0,3,0,13,1,0,2,2,7,LWW,0,0,1,0,2,W,W
Ajax,Vitesse,3-0,/match/ajax/vitesse/2009,2009,4,eredivisie,18,34,0,3,0,9,1,1,1,4,4,WWD,1,0,0,1,0,16,0,1,2,1,6,LWD,0,0,1,0,1,W,W
Sparta Rotterdam,Roda JC,2-2,/match/sparta-rotterdam/roda-jc/2009,2009,4,eredivisie,18,34,1,2,2,17,0,1,2,3,7,LWD,0,0,1,2,5,15,0,1,2,1,5,DWL,0,0,1,0,1,L,W
NEC Nijmegen,Heracles,1-1,/match/nec/heracles/2009,2009,4,eredivisie,18,34,1,1,1,10,1,1,1,4,3,WDW,1,0,0,2,0,4,1,2,0,6,4,WDD,0,1,0,2,2,W,D
