,0,1,2,3,4,5
Eintracht,Frankfurt am Main,Germany,Commerzbank-Arena,MÃ¶rfelder LandstraÃe 362 60528 Frankfurt am Main,52300,Natural
B. Dortmund,Dortmund,Germany,Signal Iduna Park,Strobelalle 50,81359,Natural
B. Leverkusen,Leverkusen,Germany,BayArena,Bismarckstr. 122-124 51373 Leverkusen,30210,Natural
Stuttgart,Stuttgart,Germany,Mercedes-Benz-Arena,"MercedesstraÃe 87, 70372 Stuttgart",60469,Natural
Werder Bremen,Bremen,Germany,Weserstadion,Franz-BÃ¶hmert-StraÃe 1c 28205 Bremen,42358,Natural
NÃ¼rnberg,NÃ¼rnberg,Germany,Grundig-Stadion,Max-Morlock-Platz 1,50000,Natural
Fortuna,DÃ¼sseldorf,Germany,ESPRIT arena,"Arena-StraÃe 1, 40474 DÃ¼sseldorf",54500,Natural
Karlsruher SC,Karlsruhe,Germany,Wildparkstadion,Adenauerring 17 76131 Karlsruhe,29699,Natural
Hamburger SV,Hamburg,Germany,Volksparkstadion,"Sylvesterallee 7, 22525",57030,Natural
Kaiserslautern,Kaiserslautern,Germany,Fritz-Walter-Stadion,Fritz-Walter-StraÃe 1 67663 Kaiserslautern,49780,Natural
FC St. Pauli,Hamburg,Germany,Millerntor-Stadion,Auf dem Heiligengeistfeld 20359 Hamburg,29546,Natural
KFC Uerdingen 05,Uerdingen,Germany,,,,
MÃ¶nchengladbach,MÃ¶nchengladbach,Germany,Borussia-Park,Hennes-Weisweiler-Allee 1 41179 MÃ¶nchengladbach,54057,Natural
VfL Bochum,Bochum,Germany,rewirpowerSTADION,Castroper StraÃe 145 44791 Bochum,30748,Natural
Waldhof Mannheim,Mannheim,Germany,,,,
FC 08 Homburg,Homburg,Germany,,,,
Liverpool,Liverpool,England,Anfield,Anfield Road,54074,Natural
Aston Villa,"Birmingham, Inglaterra",England,Villa Park,Trinity Road,42788,Natural
Tottenham Hotspur,"Londres, Inglaterra",England,Tottenham Hotspur Stadium,"782 High Rd, London N17 0BX, Reino Unido",62062,Natural
Arsenal,Londres,England,Emirates Stadium,Queensland Road,60355,Natural
Chelsea,Londres,England,Stamford Bridge,Fulham Road,41841,Natural
Everton,Liverpool,England,Goodison Park,Goodison Road,40569,Natural
Southampton,Southampton,England,St. Mary's Stadium,Britannia Road,32689,Natural
Wimbledon FC,,,,,,
Nottingham Forest,Nottingham,England,The City Ground,Pavilion Road,30576,Natural
Norwich City,Norwich,England,Carrow Road,Carrow Road,27033,Natural
Queens Park Range.,Londres,England,Loftus Road,South Africa Road,19100,Natural
Coventry City,Coventry,England,City of Coventry Stadium,"Phoenix Way, Rowleys Green",32609,Natural
Man. Utd,MÃ¡nchester,England,Old Trafford,Sir Matt Busby Way,76212,Natural
Man. City,MÃ¡nchester,England,Etihad Stadium,Rowsley Street,55097,Natural
Crystal Palace,"Londres, Inglaterra",England,Selhurst Park,Holmesdale Road,26309,Natural
Derby County,Derby,England,iPro Stadium,"Pride Park, Royal Way",33597,Natural
Luton Town,Luton,England,Kenilworth Road Stadium,,,
Sheffield,Sheffield,England,Hillsborough Stadium,"Penistone Road North, Hillsborough",39814,Natural
Charlton Athletic,Londres,England,The Valley,"Floyd Road, Charlton",27111,Natural
Millwall,Londres,England,The Den,"Zampa Road, Bermondsey",20146,Natural
Napoli,"NÃ¡poles, Italia",Italy,San Paolo,Pizzale Vincenzo Tecchio,76824,Natural
Milan,"Milano, Italia",Italy,San Siro,Via Piccolomini 5,82995,Natural
Inter,"Milano, Italia",Italy,Stadio Giuseppe Meazza,Via Piccolomini 5,82995,Natural
Juventus,"TurÃ­n, Italia",Italy,Juventus Stadium,Strada Comunale di Altessano 131,41000,Natural
Sampdoria,"GÃ©nova, Italia",Italy,Stadio Luigi Ferraris,"Via Giovanni De PrÃ , 1",36703,Natural
Roma,Roma,Italy,Stadio Olimpico di Roma,"Viale dei Gladiatori, 2 / Via del Foro Italico",70634,Natural
Atalanta,"BÃ©rgamo, Italia",Italy,Stadio Atleti Azzurri d'Italia,"Viale Caio Giulio Cesare, 18",24726,Natural
Bologna,"Bolonia, Italia",Italy,Stadio Renato Dall'Ara,"Via Andrea Costa, 174",36532,Natural
Lazio,"Roma, Italia",Italy,Stadio Olimpico,"Viale dei Gladiatori, 2 / Via del Foro Italico",82656,Natural
SSC Bari,Bari,Italy,Stadio Comunale San Nicola,Strada Provinciale Modugno-Carbonara,58270,Natural
Genoa,"GÃ©nova, Italia",Italy,Stadio Comunale Luigi Ferraris,"Via Giovanni De PrÃ , 1",36703,Natural
Fiorentina,"Firenze, Italia",Italy,Stadio Artemio Franchi,Viale Manfredo Fanti 14,47290,Natural
Cesena,,Italy,Stadio Dino Manuzzi,"Via dello Stadio, 124",24026,CÃ©sped Artificial
Lecce,Lecce,Italy,Stadio Via del Mar,Viale dello Stadio,36285,Natural
Udinese,"Ãdine, Italia",Italy,Dacia Arena,"Piazza le Repubblica Argentina, 3",25000,Natural
Hellas Verona,Verona,Italy,Stadio Marc'Antonio Bentegodi,Piazzale Olimpia,44799,Natural
Cremonese,Cremona,Italy,Stadio Giovanni Zini,"Via Persico, 19",20034,Natural
Ascoli,Ascoli Piceno,Italy,Stadio Cino e Lillo Del Duca,"Via delle Zeppelle, 1",20853,Natural
Porto,Oporto,Portugal,EstÃ¡dio Do DragÃ£o,Via Futebol Clube do Porto,50948,Natural
Benfica,Lisboa,Portugal,EstÃ¡dio da Luz,Rua JosÃ© Maria Nicolau,65647,Natural
Sporting CP,Lisboa,Portugal,JosÃ© Alvalade,Rua Professor Fernando da Fonseca 1600-616 Lisboa Portugal,50486,Natural
VitÃ³ria,GuimarÃ£es,Portugal,EstÃ¡dio Dom Afonso Henriques,Rua de SÃ£o GonÃ§alo 505,30165,Natural
Chaves,Chaves,Portugal,EstÃ¡dio Municipal Eng. Manuel Branco Teixeira,Avenida do EstÃ¡dio Municipal,12000,Natural
Belenenses,Lisboa,Portugal,EstÃ¡dio do Restelo,"Avenida da Ilha da Madeira, Santa Maria de BelÃ©m",32500,Natural
VitÃ³ria SetÃºbal,SetÃºbal,Portugal,EstÃ¡dio do Bonfim,PraÃ§a Vitoria Futebol Clube,18694,Natural
Boavista,Oporto,Portugal,Bessa SÃ©culo XXI,Rua O Primeiro de Janeiro EstÃ¡dio do Bessa SÃ©culo XXI 4100 PORTO,30000,Natural
Tirsense,Santo Tirso,Portugal,,,,
MarÃ­timo,Funchal,Portugal,EstÃ¡dio dos Barreiros,Rua do Dr. Pita,8992,Natural
Beira Mar SC,,Portugal,Municipal de Aveiro,,30000,
Sporting Braga,Braga,Portugal,EstÃ¡dio Municipal de Braga,Avenida do EstÃ¡dio,30286,Natural
Estrela Amadora,,,,,,
Nacional,,Portugal,EstÃ¡dio da Madeira,"Rua do Esmeraldo, nÂº 46",8589,Natural
Penafiel,,Portugal,EstÃ¡dio Municipal 25 de Abril,Rua Futebol Clube de Penafiel,6500,Natural
UniÃ£o Madeira,,Portugal,EstÃ¡dio Municipal de Machico,Rua da Estacada 9,3300,Natural
Portimonense,PortimÃ£o,Portugal,EstÃ¡dio do Portimonense SC,Avenida Zeca Afonso PortimÃ£o,9544,Natural
Feirense,Santa Maria da Feira,Portugal,EstÃ¡dio Marcolino de Castro,Avenida 25 de Abril 14,4667,Natural
